condition,task_id,passed,passed_stage,attempts,builder_elapsed_sec,repair_elapsed_sec,lib_chars,main_chars,cargo_output_chars
ordo_memory,mini_runtime,False,,2,26.075,28.742,3685,2101,1326
ordo_memory,intersection_fabric,True,builder,1,17.139,0.0,2088,1190,454
ordo_memory,backpressure_scheduler,True,builder,1,20.418,0.0,2429,1632,908
ordo_memory,signal_mesh,True,builder,1,16.598,0.0,1888,1296,931
ordo_memory,preload_planner,True,builder,1,13.662,0.0,1638,907,454
ordo_memory,ramp_roundtrip,False,,2,18.576,19.148,2254,1040,1237
ordo_memory,retry_fallback,True,builder,1,16.383,0.0,1257,1837,697
ordo_memory,cost_ledger,True,builder,1,12.862,0.0,887,1541,702
ordo_memory,workflow_codec,True,builder,1,10.779,0.0,997,869,701
ordo_memory,node_registry,True,builder,1,9.269,0.0,796,934,686
ordo_memory,fanout_join,True,repair_1,2,12.191,11.913,522,1556,454
ordo_memory,audit_timeline,True,builder,1,13.449,0.0,1134,1583,702
