substrate,quant,stack,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors
degraded_instruct,healthy_q6,cognitive_only,9600,0.7018,0.5988,0.8665,0.9768,0.0686,0.0339,0.1401
degraded_instruct,healthy_q6,cognitive_plus_cyber,9600,0.8592,0.6742,0.9306,0.99,0.0654,0.0998,0.145
degraded_instruct,healthy_q6,cognitive_plus_structural,9600,0.9201,0.757,0.9629,0.9898,0.053,0.0681,0.1229
degraded_instruct,healthy_q6,cyber_only,9600,0.6598,0.5557,0.8297,0.8831,0.0743,0.0674,0.126
degraded_instruct,healthy_q6,cyber_plus_structural,9600,0.922,0.7351,0.9637,0.9899,0.0536,0.112,0.1061
degraded_instruct,healthy_q6,structural_only,9600,0.9213,0.7885,0.9644,0.9917,0.0528,0.0477,0.1071
instruct,damaged_q2,all_three_balanced,9600,0.3019,0.197,0.6054,0.7648,0.2099,0.1272,0.3572
instruct,damaged_q2,all_three_naive_all_fire,9600,0.0401,0.0229,0.2471,0.4725,0.3516,0.2888,0.4628
instruct,damaged_q2,baseline,9600,0.003,0.0025,0.062,0.3088,0.5524,0.0,0.4288
instruct,damaged_q2,cognitive_only,9600,0.0068,0.0053,0.1135,0.4359,0.4948,0.0357,0.4484
instruct,damaged_q2,cognitive_plus_cyber,9600,0.0138,0.009,0.1667,0.5009,0.4467,0.1016,0.4304
instruct,damaged_q2,cognitive_plus_structural,9600,0.1854,0.1365,0.4984,0.7295,0.2603,0.0596,0.3826
instruct,damaged_q2,cyber_only,9600,0.009,0.0052,0.1237,0.4044,0.4733,0.0628,0.4144
instruct,damaged_q2,cyber_plus_structural,9600,0.2217,0.153,0.5112,0.6368,0.247,0.1026,0.3185
instruct,damaged_q2,structural_only,9600,0.1368,0.1029,0.4219,0.5859,0.2946,0.0398,0.3527
instruct,damaged_q3,all_three_balanced,9600,0.7653,0.5229,0.8837,0.9417,0.1185,0.126,0.2544
instruct,damaged_q3,all_three_naive_all_fire,9600,0.2587,0.1515,0.5556,0.6819,0.186,0.2917,0.328
instruct,damaged_q3,baseline,9600,0.0598,0.0526,0.3091,0.556,0.2653,0.0,0.2702
instruct,damaged_q3,cognitive_only,9600,0.1008,0.0794,0.39,0.6644,0.2493,0.039,0.2846
instruct,damaged_q3,cognitive_plus_cyber,9600,0.1504,0.1108,0.467,0.7185,0.2356,0.0969,0.29
instruct,damaged_q3,cognitive_plus_structural,9600,0.6679,0.5016,0.8426,0.9353,0.1286,0.0579,0.2446
instruct,damaged_q3,cyber_only,9600,0.1161,0.0901,0.4118,0.6431,0.2334,0.0615,0.2644
instruct,damaged_q3,cyber_plus_structural,9600,0.6331,0.4785,0.8088,0.8309,0.1219,0.097,0.2097
instruct,damaged_q3,structural_only,9600,0.5542,0.4395,0.7705,0.8051,0.1306,0.0398,0.2327
instruct,healthy_q6,all_three_balanced,9600,0.9017,0.6661,0.9541,0.9907,0.0699,0.1313,0.1622
instruct,healthy_q6,all_three_naive_all_fire,9600,0.7848,0.4579,0.8706,0.8747,0.0984,0.2884,0.2278
instruct,healthy_q6,baseline,9600,0.4196,0.3854,0.6964,0.7863,0.0821,0.0,0.1259
instruct,healthy_q6,cognitive_only,9600,0.5503,0.4782,0.7871,0.8995,0.0804,0.0338,0.1429
instruct,healthy_q6,cognitive_plus_cyber,9600,0.6562,0.5127,0.8307,0.9191,0.0907,0.0985,0.1731
instruct,healthy_q6,cognitive_plus_structural,9600,0.9149,0.7529,0.9604,0.9891,0.0579,0.0574,0.1332
instruct,healthy_q6,cyber_only,9600,0.5681,0.4767,0.7776,0.8339,0.0794,0.0602,0.1417
instruct,healthy_q6,cyber_plus_structural,9600,0.9109,0.7252,0.9603,0.9898,0.0625,0.1025,0.1216
instruct,healthy_q6,structural_only,9600,0.9242,0.7913,0.9645,0.9904,0.0488,0.044,0.1125
