substrate,quant,stack,family,trials,pass_rate,clean_pass_rate,mean_score,cascade_rate,echo_rate
base,damaged_q3,baseline,generalist,1200,0.0592,0.0475,0.3172,0.27,0.0
base,damaged_q3,baseline,math,4800,0.0819,0.075,0.3167,0.2631,0.0
base,damaged_q3,baseline,rhetoric,1200,0.0433,0.0317,0.2967,0.2775,0.0
base,damaged_q3,baseline,spatial,1200,0.0425,0.0367,0.314,0.2542,0.0
base,damaged_q3,cognitive_only,boundary,1200,0.12,0.0825,0.4713,0.2433,0.0367
base,damaged_q3,cognitive_only,generalist,1200,0.2067,0.1542,0.6167,0.1808,0.035
base,damaged_q3,cognitive_only,math,4800,0.254,0.2202,0.5407,0.1994,0.0315
base,damaged_q3,cognitive_only,rhetoric,1200,0.2042,0.16,0.5967,0.195,0.0383
base,damaged_q3,cognitive_only,spatial,1200,0.2017,0.1558,0.5784,0.195,0.0292
base,damaged_q3,cognitive_plus_cyber,boundary,1200,0.6892,0.4492,0.8786,0.1517,0.1017
base,damaged_q3,cognitive_plus_cyber,generalist,1200,0.48,0.35,0.7969,0.1417,0.0933
base,damaged_q3,cognitive_plus_cyber,math,4800,0.3879,0.3146,0.6542,0.169,0.0862
base,damaged_q3,cognitive_plus_cyber,rhetoric,1200,0.4733,0.3183,0.7934,0.1542,0.1067
base,damaged_q3,cognitive_plus_cyber,spatial,1200,0.3917,0.2725,0.7548,0.1192,0.1017
base,damaged_q3,cognitive_plus_structural,boundary,1200,0.8417,0.6058,0.9311,0.1158,0.0675
base,damaged_q3,cognitive_plus_structural,generalist,1200,0.8583,0.625,0.94,0.1,0.07
base,damaged_q3,cognitive_plus_structural,math,4800,0.889,0.6729,0.9441,0.0915,0.0602
base,damaged_q3,cognitive_plus_structural,rhetoric,1200,0.8608,0.6292,0.9394,0.1092,0.0692
base,damaged_q3,cognitive_plus_structural,spatial,1200,0.8542,0.6475,0.9384,0.11,0.0542
base,damaged_q3,cyber_only,boundary,1200,0.4783,0.3325,0.7987,0.1725,0.0625
base,damaged_q3,cyber_only,generalist,1200,0.18,0.1475,0.5549,0.1808,0.0533
base,damaged_q3,cyber_only,math,4800,0.1881,0.1627,0.456,0.2029,0.061
base,damaged_q3,cyber_only,rhetoric,1200,0.1708,0.125,0.5429,0.2008,0.0675
base,damaged_q3,cyber_only,spatial,1200,0.1408,0.1117,0.527,0.1658,0.0692
base,damaged_q3,cyber_plus_structural,boundary,1200,0.865,0.6058,0.9414,0.0975,0.1117
base,damaged_q3,cyber_plus_structural,generalist,1200,0.8542,0.6567,0.9316,0.0958,0.09
base,damaged_q3,cyber_plus_structural,math,4800,0.816,0.6221,0.8959,0.0977,0.1096
base,damaged_q3,cyber_plus_structural,rhetoric,1200,0.8633,0.6492,0.9388,0.0833,0.1
base,damaged_q3,cyber_plus_structural,spatial,1200,0.87,0.66,0.932,0.075,0.1158
base,damaged_q3,structural_only,boundary,1200,0.6658,0.5025,0.8582,0.1525,0.0508
base,damaged_q3,structural_only,generalist,1200,0.5467,0.4217,0.7877,0.125,0.0458
base,damaged_q3,structural_only,math,4800,0.6146,0.5006,0.7756,0.1302,0.0427
base,damaged_q3,structural_only,rhetoric,1200,0.5275,0.42,0.7839,0.1275,0.0433
base,damaged_q3,structural_only,spatial,1200,0.5875,0.4625,0.8082,0.0983,0.0333
base,healthy_q6,all_three_balanced,boundary,1200,0.915,0.66,0.9626,0.0442,0.1567
base,healthy_q6,all_three_balanced,generalist,1200,0.9008,0.7083,0.962,0.0542,0.1275
base,healthy_q6,all_three_balanced,math,4800,0.9379,0.7315,0.9653,0.0475,0.1237
base,healthy_q6,all_three_balanced,rhetoric,1200,0.9083,0.7,0.9642,0.0475,0.1375
base,healthy_q6,all_three_balanced,spatial,1200,0.915,0.7133,0.964,0.0442,0.13
base,healthy_q6,all_three_naive_all_fire,boundary,1200,0.8892,0.4967,0.9277,0.075,0.31
base,healthy_q6,all_three_naive_all_fire,generalist,1200,0.8917,0.5117,0.9275,0.0708,0.2942
base,healthy_q6,all_three_naive_all_fire,math,4800,0.896,0.5458,0.9292,0.0746,0.2829
base,healthy_q6,all_three_naive_all_fire,rhetoric,1200,0.8833,0.53,0.9283,0.08,0.2908
base,healthy_q6,all_three_naive_all_fire,spatial,1200,0.8725,0.5208,0.9279,0.0758,0.2608
base,healthy_q6,baseline,boundary,1200,0.3375,0.2958,0.6806,0.09,0.0
base,healthy_q6,baseline,generalist,1200,0.3608,0.3142,0.7173,0.0642,0.0
base,healthy_q6,baseline,math,4800,0.5062,0.4733,0.7023,0.0777,0.0
base,healthy_q6,baseline,rhetoric,1200,0.3508,0.3158,0.6957,0.0725,0.0
base,healthy_q6,baseline,spatial,1200,0.3458,0.3117,0.6959,0.0783,0.0
base,healthy_q6,cognitive_only,boundary,1200,0.69,0.5708,0.8891,0.0592,0.0275
base,healthy_q6,cognitive_only,generalist,1200,0.8858,0.7533,0.9535,0.0525,0.0342
base,healthy_q6,cognitive_only,math,4800,0.8502,0.7431,0.9123,0.0573,0.0292
base,healthy_q6,cognitive_only,rhetoric,1200,0.8442,0.7217,0.9444,0.0675,0.0317
base,healthy_q6,cognitive_only,spatial,1200,0.8083,0.7117,0.9358,0.055,0.0333
base,healthy_q6,cognitive_plus_cyber,boundary,1200,0.9,0.6808,0.9595,0.0583,0.11
base,healthy_q6,cognitive_plus_cyber,generalist,1200,0.8825,0.7083,0.956,0.0617,0.0892
base,healthy_q6,cognitive_plus_cyber,math,4800,0.9294,0.7506,0.9617,0.0479,0.089
base,healthy_q6,cognitive_plus_cyber,rhetoric,1200,0.8975,0.7083,0.9594,0.0617,0.1017
base,healthy_q6,cognitive_plus_cyber,spatial,1200,0.9017,0.7267,0.9604,0.0542,0.0875
base,healthy_q6,cognitive_plus_structural,boundary,1200,0.92,0.7458,0.9641,0.05,0.0733
