model,substrate,quant,stack,pass_lift,clean_pass_lift,score_lift,cascade_delta,echo_delta,distractor_delta
27b,base,damaged_q3,tri_routed_68_20_12,0.6552,0.4827,0.4063,-0.0725,0.0208,-0.0371
27b,base,damaged_q3,tri_routed_72_18_10,0.6571,0.4921,0.4076,-0.0779,0.024,-0.0531
27b,base,damaged_q3,tri_stability_70,0.6525,0.4785,0.4061,-0.0737,0.0252,-0.0423
27b,base,damaged_q3,tri_structural_65,0.6585,0.4821,0.4088,-0.0752,0.0319,-0.0531
27b,base,damaged_q4,cognitive_25_structural_75,0.4369,0.3471,0.2462,-0.0382,0.0052,-0.0306
27b,base,damaged_q4,cognitive_cyber_equal,0.4227,0.2817,0.2363,-0.0252,0.0623,-0.017
27b,base,damaged_q4,cognitive_only,0.3615,0.2512,0.1974,-0.0211,0.0327,0.0086
27b,base,damaged_q4,cognitive_structural_equal,0.4379,0.3219,0.2442,-0.0344,0.0173,-0.0154
27b,base,damaged_q4,cyber_25_structural_75,0.434,0.3329,0.2457,-0.034,0.0233,-0.0362
27b,base,damaged_q4,cyber_only,0.3735,0.2391,0.2049,-0.0294,0.0714,-0.0093
27b,base,damaged_q4,cyber_structural_equal,0.4367,0.3146,0.2461,-0.034,0.0437,-0.0366
27b,base,damaged_q4,structural_only,0.429,0.3304,0.2418,-0.0313,0.0033,-0.0177
27b,base,damaged_q4,tri_equal,0.4381,0.3031,0.2453,-0.0363,0.0591,-0.027
27b,base,damaged_q4,tri_naive_all_fire,0.4056,0.0904,0.2106,-0.0144,0.2841,0.0317
27b,base,damaged_q4,tri_routed_68_20_12,0.4444,0.3321,0.2475,-0.0423,0.0312,-0.0289
27b,base,damaged_q4,tri_routed_72_18_10,0.4394,0.3362,0.2464,-0.0396,0.0256,-0.0418
27b,base,damaged_q4,tri_stability_70,0.4404,0.3292,0.2466,-0.0382,0.0281,-0.0268
27b,base,damaged_q4,tri_structural_65,0.4379,0.3221,0.2466,-0.0392,0.0339,-0.0302
27b,base,healthy_q6,cognitive_25_structural_75,0.1621,0.1198,0.0964,-0.0098,0.0047,-0.0023
27b,base,healthy_q6,cognitive_cyber_equal,0.1512,0.0642,0.0919,-0.0017,0.0572,0.0006
27b,base,healthy_q6,cognitive_only,0.1502,0.0738,0.0922,-0.0027,0.0329,0.0146
27b,base,healthy_q6,cognitive_structural_equal,0.1621,0.0973,0.0953,-0.0096,0.0204,0.0023
27b,base,healthy_q6,cyber_25_structural_75,0.1604,0.1227,0.0976,-0.0094,0.0137,-0.0144
27b,base,healthy_q6,cyber_only,0.1519,0.0644,0.0932,-0.005,0.0643,-0.004
27b,base,healthy_q6,cyber_structural_equal,0.1673,0.094,0.0971,-0.0177,0.0447,-0.0067
27b,base,healthy_q6,structural_only,0.1631,0.1238,0.0981,-0.0133,0.0004,-0.0037
27b,base,healthy_q6,tri_equal,0.1552,0.0684,0.095,-0.0031,0.0595,-0.0008
27b,base,healthy_q6,tri_naive_all_fire,0.1252,-0.1544,0.0593,0.0135,0.2847,0.0596
27b,base,healthy_q6,tri_routed_68_20_12,0.169,0.1156,0.0994,-0.015,0.0295,-0.0171
27b,base,healthy_q6,tri_routed_72_18_10,0.161,0.1069,0.0979,-0.0121,0.0247,-0.0085
27b,base,healthy_q6,tri_stability_70,0.1669,0.1156,0.0988,-0.0146,0.0245,-0.0142
27b,base,healthy_q6,tri_structural_65,0.1654,0.0973,0.0984,-0.0121,0.0368,-0.0067
27b,base,healthy_q8,cognitive_25_structural_75,0.1338,0.1083,0.0816,-0.0058,0.0071,-0.0083
27b,base,healthy_q8,cognitive_cyber_equal,0.1388,0.0554,0.0809,-0.0072,0.0648,-0.0017
27b,base,healthy_q8,cognitive_only,0.1288,0.0812,0.078,0.0017,0.0258,-0.0037
27b,base,healthy_q8,cognitive_structural_equal,0.1417,0.0985,0.0825,-0.0077,0.0183,-0.0056
27b,base,healthy_q8,cyber_25_structural_75,0.1342,0.1069,0.081,-0.002,0.0158,-0.0171
27b,base,healthy_q8,cyber_only,0.1288,0.0571,0.0777,-0.0016,0.0571,-0.0014
27b,base,healthy_q8,cyber_structural_equal,0.1404,0.081,0.0815,-0.0085,0.0402,-0.0062
27b,base,healthy_q8,structural_only,0.1367,0.1092,0.0808,-0.0039,0.0031,-0.0056
27b,base,healthy_q8,tri_equal,0.1373,0.0642,0.0815,-0.0033,0.0539,-0.0046
27b,base,healthy_q8,tri_naive_all_fire,0.1023,-0.1875,0.0432,0.0171,0.2981,0.055
27b,base,healthy_q8,tri_routed_68_20_12,0.1373,0.0883,0.0814,-0.0056,0.0291,-0.0029
27b,base,healthy_q8,tri_routed_72_18_10,0.1406,0.1029,0.0828,-0.0079,0.0231,-0.0167
27b,base,healthy_q8,tri_stability_70,0.1421,0.0979,0.0829,-0.0106,0.0244,-0.0067
27b,base,healthy_q8,tri_structural_65,0.1383,0.0933,0.0823,-0.0072,0.0289,-0.0108
27b,base,q1_k_m,cognitive_25_structural_75,0.0967,0.0765,0.3297,-0.3606,0.0081,-0.1117
27b,base,q1_k_m,cognitive_cyber_equal,0.0157,0.0134,0.131,-0.1954,0.0629,-0.055
27b,base,q1_k_m,cognitive_only,0.0073,0.0054,0.0736,-0.1123,0.0325,-0.0275
27b,base,q1_k_m,cognitive_structural_equal,0.054,0.0429,0.244,-0.3054,0.0252,-0.079
27b,base,q1_k_m,cyber_25_structural_75,0.1238,0.0948,0.3446,-0.3741,0.0196,-0.1484
27b,base,q1_k_m,cyber_only,0.015,0.0102,0.1095,-0.1929,0.0692,-0.0982
27b,base,q1_k_m,cyber_structural_equal,0.0904,0.0654,0.2791,-0.3327,0.0369,-0.1475
27b,base,q1_k_m,structural_only,0.0617,0.049,0.2503,-0.3216,0.0044,-0.0992
27b,base,q1_k_m,tri_equal,0.0973,0.0696,0.3288,-0.3564,0.0542,-0.1059
27b,base,q1_k_m,tri_naive_all_fire,0.1934,0.1083,0.4402,-0.4327,0.3073,-0.0638
27b,base,q1_k_m,tri_routed_68_20_12,0.2334,0.1704,0.4876,-0.4437,0.0271,-0.1213
27b,base,q1_k_m,tri_routed_72_18_10,0.2475,0.1746,0.4954,-0.4402,0.0256,-0.1505
27b,base,q1_k_m,tri_stability_70,0.2494,0.1848,0.5007,-0.4546,0.0248,-0.1455
27b,base,q1_k_m,tri_structural_65,0.2202,0.1615,0.4669,-0.4339,0.0369,-0.1338
27b,base,q8_k_m,cognitive_25_structural_75,0.1144,0.0886,0.0705,-0.0089,0.0083,0.0002
27b,base,q8_k_m,cognitive_cyber_equal,0.109,0.0331,0.0682,-0.006,0.0621,0.0054
27b,base,q8_k_m,cognitive_only,0.1056,0.0481,0.0675,-0.0035,0.0341,0.0087
27b,base,q8_k_m,cognitive_structural_equal,0.1079,0.0758,0.068,-0.0014,0.0143,0.0012
27b,base,q8_k_m,cyber_25_structural_75,0.1146,0.0727,0.0713,-0.0071,0.0229,0.0018
27b,base,q8_k_m,cyber_only,0.0994,0.0252,0.065,0.0011,0.0629,0.0031
27b,base,q8_k_m,cyber_structural_equal,0.1117,0.0544,0.0692,-0.0054,0.0446,-0.0015
27b,base,q8_k_m,structural_only,0.1071,0.0854,0.0685,-0.0002,0.0077,-0.0055
27b,base,q8_k_m,tri_equal,0.1046,0.0427,0.0687,-0.0044,0.0579,-0.0053
27b,base,q8_k_m,tri_naive_all_fire,0.07,-0.2333,0.0289,0.0198,0.3121,0.0718
27b,base,q8_k_m,tri_routed_68_20_12,0.1115,0.0604,0.0691,-0.0071,0.0321,0.0035
27b,base,q8_k_m,tri_routed_72_18_10,0.1085,0.0742,0.0687,-0.0039,0.0252,-0.0082
27b,base,q8_k_m,tri_stability_70,0.1115,0.0742,0.0706,-0.0064,0.0268,-0.0078
27b,base,q8_k_m,tri_structural_65,0.109,0.0619,0.0689,-0.0066,0.0346,-0.0025
27b,degraded_instruct,base_f16,cognitive_25_structural_75,0.0748,0.0466,0.0506,0.0025,0.0181,0.0015
27b,degraded_instruct,base_f16,cognitive_cyber_equal,0.0636,-0.0327,0.0457,0.011,0.07,0.0344
27b,degraded_instruct,base_f16,cognitive_only,0.0667,-0.0054,0.0467,0.0094,0.0406,0.03
27b,degraded_instruct,base_f16,cognitive_structural_equal,0.0731,0.0243,0.0499,0.0038,0.0264,0.0179
27b,degraded_instruct,base_f16,cyber_25_structural_75,0.074,0.0335,0.0505,0.0046,0.021,0.0119
27b,degraded_instruct,base_f16,cyber_only,0.0652,-0.0302,0.046,0.0113,0.0741,0.0267
27b,degraded_instruct,base_f16,cyber_structural_equal,0.0754,0.0052,0.051,0.0044,0.0489,0.0175
27b,degraded_instruct,base_f16,structural_only,0.0702,0.0448,0.049,0.0038,0.0037,0.0144
27b,degraded_instruct,base_f16,tri_equal,0.0715,-0.0023,0.0481,0.0077,0.0585,0.0161
27b,degraded_instruct,base_f16,tri_naive_all_fire,0.0329,-0.2711,0.0105,0.0315,0.2962,0.0927
27b,degraded_instruct,base_f16,tri_routed_68_20_12,0.0692,0.0131,0.0484,0.0077,0.036,0.0163
27b,degraded_instruct,base_f16,tri_routed_72_18_10,0.0763,0.0323,0.05,0.0025,0.0271,0.0134
