model,substrate,quant,stack,pressure_band,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,base_f16,tri_equal,low,1200,0.9442,0.8458,0.9772,0.9925,0.0117,0.0425,0.0667,0.0458,0.8262,none
27b,base,base_f16,tri_equal,medium,1200,0.9775,0.8592,0.9798,0.9867,0.0167,0.055,0.0708,0.035,0.8357,none
27b,base,base_f16,tri_naive_all_fire,extreme,1200,0.9092,0.4258,0.91,0.9842,0.0525,0.42,0.2508,0.0625,0.3029,none
27b,base,base_f16,tri_naive_all_fire,high,1200,0.9217,0.5267,0.934,0.9875,0.0475,0.3233,0.1825,0.0517,0.4306,none
27b,base,base_f16,tri_naive_all_fire,low,1200,0.9242,0.6408,0.9497,0.985,0.0342,0.2317,0.1092,0.0375,0.5736,none
27b,base,base_f16,tri_naive_all_fire,medium,1200,0.9267,0.59,0.9393,0.9875,0.0525,0.2917,0.1217,0.0467,0.5038,none
27b,base,base_f16,tri_routed_68_20_12,extreme,1200,0.975,0.7958,0.9685,0.9892,0.0175,0.0558,0.15,0.0725,0.7638,none
27b,base,base_f16,tri_routed_68_20_12,high,1200,0.9725,0.84,0.9762,0.9908,0.0208,0.0375,0.1058,0.0408,0.8157,none
27b,base,base_f16,tri_routed_68_20_12,low,1200,0.9442,0.8675,0.9765,0.9858,0.0133,0.0217,0.0617,0.0417,0.8522,none
27b,base,base_f16,tri_routed_68_20_12,medium,1200,0.9742,0.88,0.9795,0.9892,0.0133,0.0358,0.07,0.0442,0.861,none
27b,base,base_f16,tri_routed_72_18_10,extreme,1200,0.9758,0.8017,0.9724,0.9908,0.0208,0.0608,0.1333,0.0517,0.77,none
27b,base,base_f16,tri_routed_72_18_10,high,1200,0.985,0.8542,0.9773,0.99,0.0125,0.04,0.1025,0.0483,0.8318,none
27b,base,base_f16,tri_routed_72_18_10,low,1200,0.955,0.8667,0.9808,0.9933,0.01,0.0242,0.0717,0.0358,0.8513,none
27b,base,base_f16,tri_routed_72_18_10,medium,1200,0.9792,0.8808,0.9796,0.9892,0.0092,0.0308,0.0758,0.0475,0.8635,none
27b,base,base_f16,tri_stability_70,extreme,1200,0.9708,0.79,0.9694,0.9933,0.0217,0.065,0.14,0.0658,0.756,none
27b,base,base_f16,tri_stability_70,high,1200,0.9725,0.85,0.9745,0.995,0.0233,0.0367,0.1008,0.0517,0.825,none
27b,base,base_f16,tri_stability_70,low,1200,0.9458,0.8658,0.9771,0.9842,0.0117,0.03,0.0583,0.0408,0.8496,none
27b,base,base_f16,tri_stability_70,medium,1200,0.975,0.8775,0.9771,0.99,0.0158,0.0258,0.0792,0.0492,0.8588,none
27b,base,base_f16,tri_structural_65,extreme,1200,0.9625,0.7783,0.9658,0.9875,0.0283,0.0592,0.1492,0.0642,0.7429,none
27b,base,base_f16,tri_structural_65,high,1200,0.9725,0.8333,0.9727,0.9883,0.0217,0.0442,0.1108,0.0533,0.8065,none
27b,base,base_f16,tri_structural_65,low,1200,0.9608,0.8867,0.9827,0.9892,0.0092,0.0292,0.0567,0.0292,0.8721,none
27b,base,base_f16,tri_structural_65,medium,1200,0.98,0.8783,0.9823,0.9925,0.0108,0.0308,0.0792,0.0342,0.8609,none
27b,base,collapsed_q2_edge,baseline,extreme,1200,0.0,0.0,0.0261,0.3075,0.7183,0.0283,0.8342,5.4217,-0.559,cascade
27b,base,collapsed_q2_edge,baseline,high,1200,0.005,0.005,0.0628,0.3642,0.5592,0.0067,0.5375,4.35,-0.4246,cascade
27b,base,collapsed_q2_edge,baseline,low,1200,0.0167,0.015,0.1796,0.4417,0.2667,0.0,0.3033,2.5042,-0.2145,classification_miss
27b,base,collapsed_q2_edge,baseline,medium,1200,0.01,0.01,0.1077,0.4058,0.4575,0.01,0.4133,3.7125,-0.3479,cascade
27b,base,collapsed_q2_edge,cognitive_25_structural_75,extreme,1200,0.2,0.1108,0.4735,0.7308,0.3267,0.0417,0.6325,2.02,-0.1471,cascade
27b,base,collapsed_q2_edge,cognitive_25_structural_75,high,1200,0.2708,0.205,0.5236,0.7617,0.255,0.0133,0.4442,1.6792,0.0063,cascade
27b,base,collapsed_q2_edge,cognitive_25_structural_75,low,1200,0.4183,0.3233,0.7178,0.8758,0.135,0.01,0.2358,0.7217,0.2259,none
27b,base,collapsed_q2_edge,cognitive_25_structural_75,medium,1200,0.36,0.3025,0.6248,0.82,0.2033,0.0142,0.315,1.2283,0.152,none
27b,base,collapsed_q2_edge,cognitive_cyber_equal,extreme,1200,0.0417,0.0192,0.244,0.695,0.4692,0.0992,0.7475,3.3517,-0.3688,cascade
27b,base,collapsed_q2_edge,cognitive_cyber_equal,high,1200,0.0717,0.0483,0.2905,0.7292,0.415,0.0908,0.4775,2.7925,-0.2722,cascade
27b,base,collapsed_q2_edge,cognitive_cyber_equal,low,1200,0.1317,0.0942,0.4732,0.8217,0.2008,0.04,0.2542,1.5358,-0.0712,primitive_gap
