condition,task_id,passed,passed_stage,attempts,builder_elapsed_sec,repair_elapsed_sec,lib_chars,main_chars,cargo_output_chars
no_memory,mini_runtime,False,,2,45.672,46.823,5216,5072,11949
no_memory,intersection_fabric,False,,2,38.189,39.524,6669,1045,5017
no_memory,backpressure_scheduler,False,,2,34.781,36.552,5037,2179,1496
no_memory,signal_mesh,False,,2,27.048,27.962,4974,1241,1587
no_memory,preload_planner,False,,2,14.701,15.231,1719,1761,737
no_memory,ramp_roundtrip,False,,2,21.384,24.025,2336,2178,2995
no_memory,retry_fallback,False,,2,23.143,23.395,2323,2556,4550
no_memory,cost_ledger,False,,2,13.98,14.808,1012,1885,2830
no_memory,workflow_codec,False,,2,13.8,13.854,1507,1010,1316
no_memory,node_registry,False,,2,10.747,15.359,903,1578,3038
no_memory,fanout_join,False,,2,14.081,15.266,1005,1705,2616
no_memory,audit_timeline,False,,2,12.947,13.888,1107,1271,4032
