geometry,pass_rate,clean_pass_rate,mean_score,classified_rate,packet_rate,gate_open_rate,repair_rate,echo_rate,overdrive_rate,cascade_rate,avg_missing,avg_distractors,train_complexity
hybrid_all_three_overbuilt,0.8668,0.8599,0.9246,0.767,0.7889,0.7167,0.4201,0.0097,0.0,0.0256,0.3448,0.6327,0.92
hybrid_all_three_balanced,0.7897,0.7897,0.8858,0.7306,0.7499,0.6729,0.5422,0.0,0.0,0.0596,0.5172,0.594,0.78
hybrid_no_add_payload,0.7372,0.7372,0.8576,0.7203,0.6803,0.6889,0.7626,0.0,0.0,0.0788,0.6627,0.4656,0.74
hybrid_all_three_light,0.6558,0.6482,0.8197,0.6755,0.7184,0.5612,0.6241,0.0187,0.0,0.1188,0.7591,0.6498,0.7
