model,substrate,quant,stack,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,q8_k_m,q3_routed_tri_68,5600,0.9616,0.8229,0.9724,0.9902,0.0216,0.0436,0.1148,0.05,0.796,none
27b,base,q8_k_m,q3_stability_tri_72,5600,0.9636,0.8366,0.9729,0.9868,0.0195,0.0355,0.1054,0.0504,0.8127,none
27b,base,q8_k_m,q4_boundary_pair_72_28,5600,0.9668,0.8384,0.9746,0.9914,0.0195,0.0341,0.1098,0.0457,0.8147,none
27b,base,q8_k_m,q4_generalist_pair_72_28,5600,0.9636,0.8445,0.9732,0.9898,0.0245,0.023,0.1087,0.0452,0.8216,none
27b,degraded_instruct,base_f16,q2_amplifier_low_echo,5600,0.9327,0.5741,0.9396,0.9905,0.0407,0.2886,0.1598,0.0468,0.4891,none
27b,degraded_instruct,base_f16,q3_routed_tri_68,5600,0.9657,0.8368,0.9732,0.9898,0.02,0.0439,0.1016,0.0532,0.8112,none
27b,degraded_instruct,base_f16,q3_stability_tri_72,5600,0.9691,0.8387,0.9752,0.9879,0.0191,0.0459,0.0973,0.0436,0.8139,none
27b,degraded_instruct,base_f16,q4_boundary_pair_72_28,5600,0.9673,0.8468,0.9752,0.9895,0.0182,0.0373,0.097,0.0473,0.8237,none
27b,degraded_instruct,base_f16,q4_generalist_pair_72_28,5600,0.9611,0.845,0.9732,0.9879,0.0211,0.0254,0.105,0.0473,0.8228,none
27b,degraded_instruct,collapsed_q2_edge,q2_amplifier_low_echo,5600,0.7746,0.3991,0.8607,0.9,0.1277,0.2793,0.4071,0.1311,0.2658,none
27b,degraded_instruct,collapsed_q2_edge,q3_routed_tri_68,5600,0.54,0.3807,0.7325,0.8495,0.167,0.0414,0.3793,0.8013,0.2519,none
27b,degraded_instruct,collapsed_q2_edge,q3_stability_tri_72,5600,0.5718,0.4045,0.7527,0.8514,0.1666,0.0443,0.3804,0.7027,0.2801,none
27b,degraded_instruct,collapsed_q2_edge,q4_boundary_pair_72_28,5600,0.3307,0.2411,0.5866,0.7673,0.2268,0.0395,0.4,1.3596,0.0652,none
27b,degraded_instruct,collapsed_q2_edge,q4_generalist_pair_72_28,5600,0.2861,0.2179,0.5638,0.778,0.225,0.0245,0.4364,1.4946,0.0358,cascade
27b,degraded_instruct,damaged_q2,q2_amplifier_low_echo,5600,0.8502,0.4379,0.9019,0.9709,0.1018,0.2861,0.3448,0.0541,0.3198,none
27b,degraded_instruct,damaged_q2,q3_routed_tri_68,5600,0.8237,0.5682,0.8997,0.9441,0.1105,0.0389,0.3414,0.1536,0.4923,none
27b,degraded_instruct,damaged_q2,q3_stability_tri_72,5600,0.8425,0.592,0.9122,0.9555,0.1016,0.043,0.3218,0.1211,0.5211,none
27b,degraded_instruct,damaged_q2,q4_boundary_pair_72_28,5600,0.6498,0.4734,0.7975,0.8616,0.1354,0.0366,0.3327,0.5418,0.3718,none
27b,degraded_instruct,damaged_q2,q4_generalist_pair_72_28,5600,0.6364,0.4711,0.7934,0.9046,0.1446,0.027,0.3527,0.6045,0.3638,none
27b,degraded_instruct,damaged_q3,q2_amplifier_low_echo,5600,0.8943,0.5009,0.9207,0.9893,0.0734,0.292,0.2662,0.0495,0.3967,none
27b,degraded_instruct,damaged_q3,q3_routed_tri_68,5600,0.9129,0.7016,0.95,0.99,0.0705,0.0418,0.2246,0.0484,0.6517,none
27b,degraded_instruct,damaged_q3,q3_stability_tri_72,5600,0.9154,0.7071,0.951,0.99,0.0668,0.0432,0.2159,0.0529,0.6585,none
27b,degraded_instruct,damaged_q3,q4_boundary_pair_72_28,5600,0.9036,0.6891,0.9452,0.9818,0.0737,0.0346,0.2334,0.0564,0.6386,none
27b,degraded_instruct,damaged_q3,q4_generalist_pair_72_28,5600,0.9079,0.688,0.948,0.9912,0.072,0.03,0.2486,0.0489,0.6381,none
27b,degraded_instruct,damaged_q4,q2_amplifier_low_echo,5600,0.9079,0.5143,0.9272,0.9884,0.0609,0.2977,0.2277,0.0493,0.4158,none
27b,degraded_instruct,damaged_q4,q3_routed_tri_68,5600,0.9314,0.748,0.9596,0.9898,0.05,0.0443,0.173,0.0493,0.7079,none
27b,degraded_instruct,damaged_q4,q3_stability_tri_72,5600,0.9316,0.7527,0.96,0.99,0.0486,0.0404,0.1732,0.0504,0.7137,none
27b,degraded_instruct,damaged_q4,q4_boundary_pair_72_28,5600,0.9282,0.7466,0.9584,0.9914,0.0559,0.0336,0.1793,0.0461,0.7065,none
27b,degraded_instruct,damaged_q4,q4_generalist_pair_72_28,5600,0.928,0.7509,0.9575,0.9902,0.0545,0.0259,0.1889,0.0493,0.7118,none
27b,degraded_instruct,healthy_q6,q2_amplifier_low_echo,5600,0.9116,0.5466,0.9311,0.9875,0.0552,0.2859,0.1954,0.0521,0.4546,none
27b,degraded_instruct,healthy_q6,q3_routed_tri_68,5600,0.9504,0.7934,0.968,0.9921,0.0339,0.0462,0.1343,0.0486,0.7608,none
27b,degraded_instruct,healthy_q6,q3_stability_tri_72,5600,0.955,0.7987,0.9688,0.9912,0.0311,0.0452,0.1325,0.0482,0.7674,none
27b,degraded_instruct,healthy_q6,q4_boundary_pair_72_28,5600,0.952,0.798,0.9676,0.9895,0.0334,0.0359,0.1434,0.0459,0.7671,none
27b,degraded_instruct,healthy_q6,q4_generalist_pair_72_28,5600,0.9457,0.8007,0.9647,0.9895,0.0362,0.0246,0.1462,0.0548,0.7705,none
27b,degraded_instruct,healthy_q8,q2_amplifier_low_echo,5600,0.9252,0.5532,0.9356,0.9888,0.0446,0.2973,0.1793,0.0479,0.4636,none
27b,degraded_instruct,healthy_q8,q3_routed_tri_68,5600,0.9579,0.81,0.9707,0.9896,0.0273,0.0486,0.1221,0.0473,0.78,none
27b,degraded_instruct,healthy_q8,q3_stability_tri_72,5600,0.9539,0.8075,0.97,0.9895,0.0266,0.0434,0.123,0.0498,0.7785,none
27b,degraded_instruct,healthy_q8,q4_boundary_pair_72_28,5600,0.958,0.8173,0.97,0.9879,0.0273,0.0338,0.1252,0.0488,0.7899,none
27b,degraded_instruct,healthy_q8,q4_generalist_pair_72_28,5600,0.9602,0.8321,0.9716,0.992,0.0273,0.0245,0.1218,0.047,0.807,none
27b,degraded_instruct,q8_k_m,q2_amplifier_low_echo,5600,0.9243,0.5632,0.9365,0.99,0.0466,0.2888,0.1645,0.0502,0.4758,none
27b,degraded_instruct,q8_k_m,q3_routed_tri_68,5600,0.9605,0.8155,0.9718,0.9891,0.0252,0.0439,0.1186,0.0454,0.7874,none
27b,degraded_instruct,q8_k_m,q3_stability_tri_72,5600,0.9591,0.827,0.973,0.9921,0.0234,0.0436,0.1071,0.0491,0.8002,none
27b,degraded_instruct,q8_k_m,q4_boundary_pair_72_28,5600,0.9582,0.8295,0.9719,0.9914,0.0264,0.0371,0.1087,0.0486,0.803,none
27b,degraded_instruct,q8_k_m,q4_generalist_pair_72_28,5600,0.9618,0.8329,0.9718,0.9895,0.0214,0.0273,0.1193,0.0511,0.8089,none
27b,instruct,base_f16,q2_amplifier_low_echo,5600,0.9355,0.5887,0.9423,0.99,0.0375,0.2745,0.1564,0.0446,0.5079,none
27b,instruct,base_f16,q3_routed_tri_68,5600,0.9659,0.8471,0.9747,0.9877,0.017,0.035,0.0971,0.0498,0.8248,none
27b,instruct,base_f16,q3_stability_tri_72,5600,0.9652,0.8341,0.9747,0.9914,0.0195,0.0387,0.1048,0.0466,0.8098,none
27b,instruct,base_f16,q4_boundary_pair_72_28,5600,0.965,0.8488,0.9742,0.988,0.0207,0.0289,0.1025,0.0448,0.8263,none
27b,instruct,base_f16,q4_generalist_pair_72_28,5600,0.9614,0.848,0.9732,0.9896,0.0227,0.0171,0.1079,0.0464,0.8269,none
27b,instruct,collapsed_q2_edge,q2_amplifier_low_echo,5600,0.6964,0.3666,0.8194,0.8398,0.1507,0.2761,0.4316,0.2327,0.22,none
27b,instruct,collapsed_q2_edge,q3_routed_tri_68,5600,0.4188,0.3079,0.6557,0.7961,0.1959,0.0377,0.4062,1.0859,0.1548,none
27b,instruct,collapsed_q2_edge,q3_stability_tri_72,5600,0.4446,0.3191,0.6695,0.7991,0.2032,0.0311,0.4248,0.998,0.168,none
27b,instruct,collapsed_q2_edge,q4_boundary_pair_72_28,5600,0.2573,0.195,0.5238,0.7196,0.2512,0.0275,0.4005,1.6193,0.0011,cascade
27b,instruct,collapsed_q2_edge,q4_generalist_pair_72_28,5600,0.2239,0.1704,0.5074,0.738,0.2432,0.0159,0.4375,1.7359,-0.0276,cascade
27b,instruct,damaged_q2,q2_amplifier_low_echo,5600,0.8232,0.4273,0.8879,0.9363,0.1164,0.2716,0.3775,0.0595,0.3049,none
27b,instruct,damaged_q2,q3_routed_tri_68,5600,0.77,0.5586,0.8639,0.9057,0.1175,0.0302,0.323,0.2921,0.4768,none
27b,instruct,damaged_q2,q3_stability_tri_72,5600,0.7913,0.5616,0.8757,0.9093,0.1173,0.0364,0.3307,0.233,0.481,none
27b,instruct,damaged_q2,q4_boundary_pair_72_28,5600,0.5709,0.4279,0.752,0.8461,0.1543,0.0273,0.3368,0.7261,0.3129,none
27b,instruct,damaged_q2,q4_generalist_pair_72_28,5600,0.5298,0.3879,0.7342,0.8634,0.1505,0.0198,0.3579,0.843,0.268,none
27b,instruct,damaged_q3,q2_amplifier_low_echo,5600,0.8843,0.4993,0.9188,0.9898,0.0821,0.2652,0.283,0.0518,0.3964,none
27b,instruct,damaged_q3,q3_routed_tri_68,5600,0.9139,0.7068,0.9499,0.9911,0.0659,0.0325,0.23,0.0554,0.6594,none
27b,instruct,damaged_q3,q3_stability_tri_72,5600,0.9118,0.7079,0.9486,0.9893,0.07,0.0275,0.2257,0.0555,0.6605,none
27b,instruct,damaged_q3,q4_boundary_pair_72_28,5600,0.8896,0.6932,0.9409,0.9743,0.0816,0.028,0.2263,0.06,0.642,none
27b,instruct,damaged_q3,q4_generalist_pair_72_28,5600,0.9025,0.692,0.9449,0.9859,0.075,0.0205,0.2454,0.0564,0.6429,none
27b,instruct,damaged_q4,q2_amplifier_low_echo,5600,0.9034,0.5273,0.9264,0.9895,0.0684,0.278,0.2246,0.0512,0.4307,none
27b,instruct,damaged_q4,q3_routed_tri_68,5600,0.9384,0.7573,0.96,0.9891,0.0455,0.0336,0.1857,0.0505,0.7196,none
27b,instruct,damaged_q4,q3_stability_tri_72,5600,0.9325,0.7559,0.9586,0.988,0.0514,0.0311,0.18,0.0477,0.7175,none
27b,instruct,damaged_q4,q4_boundary_pair_72_28,5600,0.9241,0.7455,0.9559,0.9909,0.0605,0.0268,0.1871,0.048,0.7046,none
27b,instruct,damaged_q4,q4_generalist_pair_72_28,5600,0.9273,0.7575,0.9573,0.9907,0.0541,0.02,0.1859,0.0518,0.7198,none
27b,instruct,healthy_q6,q2_amplifier_low_echo,5600,0.9152,0.5534,0.9324,0.9886,0.0571,0.2686,0.2079,0.0464,0.4636,none
27b,instruct,healthy_q6,q3_routed_tri_68,5600,0.9498,0.7836,0.9658,0.9905,0.0341,0.0382,0.155,0.0512,0.7507,none
27b,instruct,healthy_q6,q3_stability_tri_72,5600,0.9516,0.8007,0.967,0.9886,0.0338,0.0345,0.1437,0.0475,0.7698,none
27b,instruct,healthy_q6,q4_boundary_pair_72_28,5600,0.9482,0.7955,0.9649,0.9875,0.0368,0.0282,0.1454,0.052,0.7646,none
27b,instruct,healthy_q6,q4_generalist_pair_72_28,5600,0.9432,0.8027,0.9641,0.9891,0.0421,0.0145,0.1464,0.0498,0.7729,none
27b,instruct,healthy_q8,q2_amplifier_low_echo,5600,0.9187,0.5636,0.9345,0.9904,0.0511,0.2773,0.1836,0.052,0.4755,none
27b,instruct,healthy_q8,q3_routed_tri_68,5600,0.9586,0.8104,0.9703,0.9905,0.0266,0.0384,0.1304,0.0484,0.7818,none
27b,instruct,healthy_q8,q3_stability_tri_72,5600,0.9548,0.8229,0.9696,0.9886,0.0327,0.0332,0.1184,0.0457,0.7947,none
27b,instruct,healthy_q8,q4_boundary_pair_72_28,5600,0.9518,0.8198,0.9689,0.9929,0.0307,0.0271,0.1275,0.0521,0.7924,none
27b,instruct,healthy_q8,q4_generalist_pair_72_28,5600,0.9545,0.825,0.9697,0.9895,0.0296,0.0195,0.1257,0.047,0.7998,none
27b,instruct,q8_k_m,q2_amplifier_low_echo,5600,0.93,0.5787,0.9401,0.993,0.0436,0.2639,0.1713,0.0496,0.4967,none
27b,instruct,q8_k_m,q3_routed_tri_68,5600,0.9616,0.8341,0.9728,0.9907,0.0236,0.0307,0.1114,0.0482,0.8096,none
27b,instruct,q8_k_m,q3_stability_tri_72,5600,0.9625,0.8379,0.9722,0.9877,0.0236,0.0327,0.1086,0.0496,0.8131,none
27b,instruct,q8_k_m,q4_boundary_pair_72_28,5600,0.9579,0.8232,0.9707,0.988,0.025,0.0277,0.1232,0.0482,0.7979,none
27b,instruct,q8_k_m,q4_generalist_pair_72_28,5600,0.957,0.8339,0.9713,0.9914,0.0266,0.0175,0.1204,0.0479,0.8104,none
2b_reference,base,base_f16,q2_amplifier_low_echo,5600,0.9286,0.5677,0.9372,0.9891,0.0445,0.2882,0.168,0.0484,0.4808,none
2b_reference,base,base_f16,q3_routed_tri_68,5600,0.9625,0.8239,0.9722,0.9888,0.0223,0.0411,0.1141,0.0493,0.7974,none
2b_reference,base,base_f16,q3_stability_tri_72,5600,0.9655,0.8259,0.9724,0.9875,0.0195,0.0348,0.1229,0.0489,0.8008,none
2b_reference,base,base_f16,q4_boundary_pair_72_28,5600,0.9637,0.8405,0.9728,0.9893,0.022,0.0312,0.1077,0.05,0.8166,none
2b_reference,base,base_f16,q4_generalist_pair_72_28,5600,0.9582,0.8305,0.971,0.9921,0.0236,0.0223,0.1221,0.0543,0.8065,none
2b_reference,base,collapsed_q2_edge,q2_amplifier_low_echo,5600,0.4571,0.2354,0.6746,0.7798,0.2455,0.2798,0.5352,0.7359,0.0261,cascade
