model,substrate,quant,stack,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
2b_reference,degraded_instruct,damaged_q3,q3_stability_tri_72,5600,0.852,0.6027,0.9196,0.9536,0.105,0.0459,0.3043,0.0816,0.5336,none
2b_reference,degraded_instruct,damaged_q4,q3_stability_tri_72,5600,0.9123,0.6929,0.9484,0.9884,0.073,0.0413,0.2416,0.0459,0.6411,none
2b_reference,degraded_instruct,healthy_q6,q3_routed_tri_68,5600,0.9343,0.753,0.9601,0.9893,0.0495,0.0421,0.1757,0.0461,0.7134,none
2b_reference,degraded_instruct,healthy_q8,q3_stability_tri_72,5600,0.9491,0.7904,0.9659,0.9909,0.0348,0.0382,0.1471,0.0514,0.7579,none
2b_reference,degraded_instruct,q8_k_m,q4_generalist_pair_72_28,5600,0.9498,0.8057,0.9676,0.9911,0.032,0.0252,0.138,0.0514,0.7775,none
2b_reference,instruct,base_f16,q4_generalist_pair_72_28,5600,0.9579,0.8368,0.9711,0.9925,0.025,0.0166,0.1195,0.0536,0.8137,none
2b_reference,instruct,collapsed_q2_edge,q2_amplifier_low_echo,5600,0.3273,0.1746,0.5672,0.6745,0.2886,0.2832,0.563,1.1273,-0.07,cascade
2b_reference,instruct,damaged_q2,q2_amplifier_low_echo,5600,0.6129,0.3154,0.7749,0.7995,0.178,0.2611,0.4788,0.3668,0.1531,none
2b_reference,instruct,damaged_q3,q3_stability_tri_72,5600,0.8054,0.5902,0.8942,0.9166,0.1207,0.0334,0.3018,0.1482,0.5157,none
2b_reference,instruct,damaged_q4,q3_stability_tri_72,5600,0.9005,0.683,0.9434,0.98,0.0791,0.033,0.2466,0.0511,0.6304,none
2b_reference,instruct,healthy_q6,q3_stability_tri_72,5600,0.9339,0.7548,0.9598,0.9902,0.0514,0.0366,0.1755,0.0464,0.7157,none
2b_reference,instruct,healthy_q8,q4_generalist_pair_72_28,5600,0.9446,0.7875,0.9639,0.9877,0.0398,0.0196,0.1605,0.0479,0.7564,none
2b_reference,instruct,q8_k_m,q4_generalist_pair_72_28,5600,0.9525,0.8064,0.9678,0.9912,0.0305,0.018,0.1511,0.0484,0.7792,none
35b_a3b_moe,base,base_f16,q4_generalist_pair_72_28,5600,0.9714,0.8618,0.9772,0.99,0.0141,0.0225,0.097,0.0439,0.8431,none
