model,substrate,quant,stack,pass_lift,clean_pass_lift,score_lift,cascade_delta,echo_delta,distractor_delta
27b,degraded_instruct,collapsed_q2_edge,q4_generalist_pair_72_28,0.2861,0.2179,0.5638,0.225,0.0245,0.4364
27b,degraded_instruct,damaged_q2,q2_amplifier_low_echo,0.8502,0.4379,0.9019,0.1018,0.2861,0.3448
27b,degraded_instruct,damaged_q2,q3_routed_tri_68,0.8237,0.5682,0.8997,0.1105,0.0389,0.3414
27b,degraded_instruct,damaged_q2,q3_stability_tri_72,0.8425,0.592,0.9122,0.1016,0.043,0.3218
27b,degraded_instruct,damaged_q2,q4_boundary_pair_72_28,0.6498,0.4734,0.7975,0.1354,0.0366,0.3327
27b,degraded_instruct,damaged_q2,q4_generalist_pair_72_28,0.6364,0.4711,0.7934,0.1446,0.027,0.3527
27b,degraded_instruct,damaged_q3,q2_amplifier_low_echo,0.8943,0.5009,0.9207,0.0734,0.292,0.2662
27b,degraded_instruct,damaged_q3,q3_routed_tri_68,0.9129,0.7016,0.95,0.0705,0.0418,0.2246
27b,degraded_instruct,damaged_q3,q3_stability_tri_72,0.9154,0.7071,0.951,0.0668,0.0432,0.2159
27b,degraded_instruct,damaged_q3,q4_boundary_pair_72_28,0.9036,0.6891,0.9452,0.0737,0.0346,0.2334
27b,degraded_instruct,damaged_q3,q4_generalist_pair_72_28,0.9079,0.688,0.948,0.072,0.03,0.2486
27b,degraded_instruct,damaged_q4,q2_amplifier_low_echo,0.9079,0.5143,0.9272,0.0609,0.2977,0.2277
27b,degraded_instruct,damaged_q4,q3_routed_tri_68,0.9314,0.748,0.9596,0.05,0.0443,0.173
27b,degraded_instruct,damaged_q4,q3_stability_tri_72,0.9316,0.7527,0.96,0.0486,0.0404,0.1732
27b,degraded_instruct,damaged_q4,q4_boundary_pair_72_28,0.9282,0.7466,0.9584,0.0559,0.0336,0.1793
27b,degraded_instruct,damaged_q4,q4_generalist_pair_72_28,0.928,0.7509,0.9575,0.0545,0.0259,0.1889
27b,degraded_instruct,healthy_q6,q2_amplifier_low_echo,0.9116,0.5466,0.9311,0.0552,0.2859,0.1954
27b,degraded_instruct,healthy_q6,q3_routed_tri_68,0.9504,0.7934,0.968,0.0339,0.0462,0.1343
27b,degraded_instruct,healthy_q6,q3_stability_tri_72,0.955,0.7987,0.9688,0.0311,0.0452,0.1325
27b,degraded_instruct,healthy_q6,q4_boundary_pair_72_28,0.952,0.798,0.9676,0.0334,0.0359,0.1434
27b,degraded_instruct,healthy_q6,q4_generalist_pair_72_28,0.9457,0.8007,0.9647,0.0362,0.0246,0.1462
27b,degraded_instruct,healthy_q8,q2_amplifier_low_echo,0.9252,0.5532,0.9356,0.0446,0.2973,0.1793
27b,degraded_instruct,healthy_q8,q3_routed_tri_68,0.9579,0.81,0.9707,0.0273,0.0486,0.1221
27b,degraded_instruct,healthy_q8,q3_stability_tri_72,0.9539,0.8075,0.97,0.0266,0.0434,0.123
27b,degraded_instruct,healthy_q8,q4_boundary_pair_72_28,0.958,0.8173,0.97,0.0273,0.0338,0.1252
27b,degraded_instruct,healthy_q8,q4_generalist_pair_72_28,0.9602,0.8321,0.9716,0.0273,0.0245,0.1218
27b,degraded_instruct,q8_k_m,q2_amplifier_low_echo,0.9243,0.5632,0.9365,0.0466,0.2888,0.1645
27b,degraded_instruct,q8_k_m,q3_routed_tri_68,0.9605,0.8155,0.9718,0.0252,0.0439,0.1186
