model,substrate,quant,stack,family,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,base_f16,q4_boundary_pair_72_28,math,560,0.9679,0.8196,0.9707,0.9929,0.0161,0.0321,0.1321,0.0679,0.7944,none
27b,base,base_f16,q4_boundary_pair_72_28,planning,560,0.9714,0.8786,0.9771,0.9893,0.0214,0.0375,0.0661,0.0446,0.8571,none
27b,base,base_f16,q4_boundary_pair_72_28,rhetoric,560,0.9768,0.8554,0.9781,0.9893,0.0071,0.0411,0.0857,0.0571,0.8353,none
27b,base,base_f16,q4_boundary_pair_72_28,spatial,560,0.9732,0.8857,0.9782,0.9911,0.0161,0.0268,0.0696,0.0482,0.8676,none
27b,base,base_f16,q4_generalist_pair_72_28,adversarial,560,0.9661,0.8875,0.976,0.9839,0.0179,0.0268,0.0589,0.0554,0.8693,none
27b,base,base_f16,q4_generalist_pair_72_28,boundary,560,0.9482,0.8518,0.9688,0.9946,0.0393,0.0357,0.0732,0.0643,0.8238,none
27b,base,base_f16,q4_generalist_pair_72_28,coding,560,0.9875,0.8732,0.9833,0.9982,0.0107,0.0339,0.0857,0.0357,0.8546,none
27b,base,base_f16,q4_generalist_pair_72_28,epistemic,560,0.9446,0.8518,0.9678,0.9893,0.0214,0.0143,0.1089,0.0679,0.8304,none
27b,base,base_f16,q4_generalist_pair_72_28,forensic,560,0.9768,0.8696,0.9773,0.9911,0.0179,0.025,0.0875,0.0446,0.8501,none
27b,base,base_f16,q4_generalist_pair_72_28,generalist,560,0.9714,0.8643,0.9785,0.9893,0.0089,0.0321,0.0875,0.0429,0.846,none
27b,base,base_f16,q4_generalist_pair_72_28,math,560,0.9732,0.8179,0.9699,0.9875,0.0107,0.0268,0.1536,0.0714,0.7934,none
27b,base,base_f16,q4_generalist_pair_72_28,planning,560,0.9786,0.8607,0.9769,0.9911,0.0089,0.0125,0.1125,0.0446,0.8443,none
27b,base,base_f16,q4_generalist_pair_72_28,rhetoric,560,0.9643,0.8214,0.9729,0.9911,0.0214,0.0196,0.1429,0.0393,0.7977,none
27b,base,base_f16,q4_generalist_pair_72_28,spatial,560,0.9625,0.8804,0.9706,0.9821,0.0268,0.0179,0.0732,0.0589,0.8599,none
27b,base,collapsed_q2_edge,q2_amplifier_low_echo,adversarial,560,0.8357,0.35,0.8878,0.9893,0.1179,0.3321,0.475,0.0482,0.2078,none
27b,base,collapsed_q2_edge,q2_amplifier_low_echo,boundary,560,0.7946,0.3786,0.8759,0.9911,0.1625,0.3071,0.4643,0.0571,0.2284,none
