model,substrate,quant,stack,pressure_band,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,collapsed_q2_edge,q4_boundary_pair_72_28,medium,1400,0.3957,0.3164,0.6356,0.7943,0.1879,0.0286,0.2914,1.1771,0.1722,none
27b,base,collapsed_q2_edge,q4_generalist_pair_72_28,extreme,1400,0.2086,0.1143,0.4668,0.7321,0.3121,0.0371,0.6636,2.0814,-0.1439,cascade
27b,base,collapsed_q2_edge,q4_generalist_pair_72_28,high,1400,0.2557,0.1971,0.5222,0.7643,0.2707,0.0207,0.4714,1.6579,-0.0088,cascade
27b,base,collapsed_q2_edge,q4_generalist_pair_72_28,low,1400,0.4157,0.3414,0.7143,0.8586,0.12,0.0093,0.2371,0.7321,0.248,none
27b,base,collapsed_q2_edge,q4_generalist_pair_72_28,medium,1400,0.365,0.3171,0.6151,0.8214,0.1914,0.0121,0.295,1.3057,0.1684,none
27b,base,damaged_q2,q2_amplifier_low_echo,extreme,1400,0.8007,0.3021,0.8626,0.9529,0.1379,0.37,0.5293,0.06,0.1414,distractor_capture
27b,base,damaged_q2,q2_amplifier_low_echo,high,1400,0.8714,0.4107,0.9047,0.985,0.0993,0.3107,0.3657,0.0564,0.2867,none
27b,base,damaged_q2,q2_amplifier_low_echo,low,1400,0.8914,0.5729,0.9334,0.9886,0.0636,0.2007,0.2171,0.0471,0.4939,none
27b,base,damaged_q2,q2_amplifier_low_echo,medium,1400,0.89,0.4957,0.92,0.9907,0.085,0.2779,0.2786,0.0471,0.39,none
27b,base,damaged_q2,q3_routed_tri_68,extreme,1400,0.7686,0.4357,0.8592,0.9129,0.14,0.0621,0.5086,0.2479,0.3282,none
27b,base,damaged_q2,q3_routed_tri_68,high,1400,0.8036,0.56,0.8893,0.9514,0.1293,0.0393,0.3471,0.1807,0.4766,none
27b,base,damaged_q2,q3_routed_tri_68,low,1400,0.8979,0.7007,0.9534,0.9929,0.0607,0.0229,0.2114,0.0421,0.6589,none
27b,base,damaged_q2,q3_routed_tri_68,medium,1400,0.8786,0.6693,0.9344,0.9714,0.0879,0.0357,0.23,0.0764,0.6136,none
27b,base,damaged_q2,q3_stability_tri_72,extreme,1400,0.7964,0.4393,0.8735,0.9336,0.1514,0.0729,0.4986,0.1729,0.3308,none
27b,base,damaged_q2,q3_stability_tri_72,high,1400,0.8421,0.555,0.9088,0.9564,0.1071,0.0486,0.3621,0.1171,0.4783,none
27b,base,damaged_q2,q3_stability_tri_72,low,1400,0.9014,0.7064,0.9531,0.9929,0.0664,0.02,0.2079,0.0364,0.6641,none
27b,base,damaged_q2,q3_stability_tri_72,medium,1400,0.8786,0.6521,0.9353,0.9736,0.0921,0.0357,0.255,0.0593,0.594,none
27b,base,damaged_q2,q4_boundary_pair_72_28,extreme,1400,0.6164,0.3607,0.7565,0.8436,0.18,0.0521,0.5043,0.7079,0.2205,none
27b,base,damaged_q2,q4_boundary_pair_72_28,high,1400,0.6379,0.4807,0.7734,0.875,0.1429,0.0286,0.3264,0.6686,0.3726,none
27b,base,damaged_q2,q4_boundary_pair_72_28,low,1400,0.7436,0.6043,0.8857,0.9243,0.0679,0.0214,0.1829,0.2286,0.5536,none
27b,base,damaged_q2,q4_boundary_pair_72_28,medium,1400,0.7007,0.5614,0.8296,0.9,0.1171,0.0264,0.2593,0.4507,0.4777,none
27b,base,damaged_q2,q4_generalist_pair_72_28,extreme,1400,0.5764,0.33,0.7365,0.8879,0.1707,0.045,0.5721,0.8743,0.1803,none
