signal,signal_strength,combo_size,combo,pass_rate,mean_score,packet_received_rate,classified_rate,route_rate,cascade_rate,avg_missing,avg_distractors,structural_survival,avg_structural_repairs,avg_functional_repairs,worst_task_rate
lora_candidate,0.78,9,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+REDUNDANCY+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8454,0.8756,0.7421,0.7879,0.0,0.0013,0.0664,0.5829,0.8196,0.0,0.0,0.8271
lora_candidate,0.78,9,FRAME+CLOCK+CARRIER+PARITY+ECC+REDUNDANCY+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8448,0.8664,0.7709,0.8137,0.0,0.0037,0.05,0.872,0.8624,0.3871,0.0168,0.8157
lora_candidate,0.78,9,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+STATE_BUFFER,0.8446,0.8709,0.7445,0.7718,0.0,0.0021,0.0514,0.6664,0.8452,0.5845,0.0154,0.8171
lora_candidate,0.78,11,FRAME+CLOCK+CARRIER+ROUTER+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8443,0.8986,0.7623,0.8891,0.6477,0.0027,0.2054,0.1879,0.8467,0.533,0.0548,0.7986
lora_candidate,0.78,8,FRAME+CLOCK+CARRIER+PARITY+REDUNDANCY+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8441,0.8759,0.7364,0.7984,0.0,0.0057,0.0666,0.5705,0.8304,0.0,0.0,0.8286
lora_candidate,0.78,9,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8439,0.8725,0.7209,0.7827,0.0,0.0043,0.0543,0.6007,0.763,0.6384,0.0111,0.8243
kv_packet,0.64,7,FRAME+CLOCK+CARRIER+REDUNDANCY+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8439,0.8725,0.727,0.7632,0.0,0.0064,0.0616,0.5386,0.8177,0.0,0.0,0.8129
lora_candidate,0.78,12,FRAME+CLOCK+CARRIER+ROUTER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8434,0.8994,0.7595,0.8895,0.6496,0.0011,0.2016,0.1898,0.8512,0.7609,0.0659,0.81
lora_candidate,0.78,9,FRAME+CLOCK+CARRIER+CHECKSUM+ECC+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8432,0.8733,0.7273,0.7998,0.0,0.0073,0.0577,0.6148,0.7428,0.4518,0.0084,0.7914
lora_candidate,0.78,9,FRAME+CLOCK+CARRIER+PARITY+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER,0.8427,0.8707,0.7434,0.7932,0.0,0.0125,0.052,0.663,0.827,0.4239,0.0129,0.8243
kv_packet,0.64,9,FRAME+CLOCK+CARRIER+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8411,0.872,0.7268,0.768,0.0,0.0071,0.0579,0.5614,0.7998,0.0,0.0,0.8171
kv_packet,0.64,8,FRAME+CLOCK+CARRIER+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8404,0.8735,0.7348,0.778,0.0,0.0068,0.0668,0.5523,0.809,0.0,0.0,0.8243
kv_packet,0.64,10,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8393,0.8684,0.7116,0.7645,0.0,0.0063,0.0573,0.5841,0.7284,0.6932,0.0104,0.8
lora_candidate,0.78,8,FRAME+CLOCK+CARRIER+PARITY+ECC+REDUNDANCY+SUPPRESSION+STATE_BUFFER,0.8384,0.8696,0.7527,0.7766,0.0,0.0123,0.0532,0.6587,0.8359,0.3639,0.0139,0.8157
lora_candidate,0.78,8,FRAME+CLOCK+CARRIER+PARITY+ECC+REDUNDANCY+STATE_BUFFER+GAIN_CLAMP,0.8379,0.863,0.757,0.8016,0.0,0.0018,0.0495,0.8757,0.8727,0.3104,0.01,0.81
lora_candidate,0.78,11,FRAME+CLOCK+CARRIER+ROUTER+PARITY+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8377,0.8949,0.7696,0.8859,0.6493,0.0061,0.2175,0.1954,0.8461,0.5246,0.0591,0.8
lora_candidate,0.78,8,FRAME+CLOCK+CARRIER+CHECKSUM+REDUNDANCY+SUPPRESSION+COMPRESSION+GAIN_CLAMP,0.8375,0.871,0.7643,0.7493,0.0,0.0057,0.0652,0.5954,0.831,0.0,0.0,0.8029
lora_candidate,0.78,8,FRAME+CLOCK+CARRIER+ECC+REDUNDANCY+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.837,0.873,0.7323,0.782,0.0,0.0052,0.0634,0.5796,0.8308,0.0,0.0,0.82
rag_like,0.48,11,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8364,0.8671,0.6955,0.7302,0.0,0.003,0.0598,0.5009,0.8087,0.6407,0.0139,0.8143
lora_candidate,0.78,10,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8363,0.873,0.7243,0.7952,0.0,0.0034,0.0587,0.6161,0.7492,0.7309,0.0088,0.7986
lora_candidate,0.78,8,FRAME+CLOCK+CARRIER+PARITY+ECC+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8361,0.8667,0.7041,0.7784,0.0,0.013,0.0511,0.6107,0.749,0.403,0.0091,0.8129
lora_candidate,0.78,9,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER,0.8352,0.8703,0.745,0.7952,0.0,0.0034,0.0623,0.6855,0.7864,0.0,0.0,0.8114
