condition,task_id,passed,passed_stage,attempts,builder_elapsed_sec,repair_elapsed_sec,lib_chars,main_chars,cargo_output_chars
ordo_build_corpus,mini_runtime,True,builder,1,21.103,0.0,3289,2103,1367
ordo_build_corpus,intersection_fabric,True,builder,1,14.782,0.0,2115,1319,933
ordo_build_corpus,backpressure_scheduler,True,builder,1,17.835,0.0,2295,2224,740
