quant,mode,pass_lift,score_lift,cascade_delta
damaged_q2,memories_only,0.0081,0.0713,-0.1025
damaged_q2,memories_plus_primitives,0.091,0.2952,-0.2724
damaged_q2,primitives_only,0.0463,0.2034,-0.2235
damaged_q3,memories_only,0.0602,0.1343,-0.0558
damaged_q3,memories_plus_primitives,0.3555,0.3954,-0.134
damaged_q3,primitives_only,0.2224,0.3012,-0.117
healthy_q6,memories_only,0.239,0.1493,-0.0253
healthy_q6,memories_plus_primitives,0.5023,0.2722,-0.0343
healthy_q6,primitives_only,0.4105,0.2342,-0.0366
