substrate,quant,stack,pass_lift,clean_pass_lift,score_lift,cascade_delta,echo_delta,distractor_delta
instruct,damaged_q4,cyb_40_str_60,0.6154,0.4519,0.4259,-0.0861,0.0291,-0.0479
instruct,damaged_q4,cyb_50_str_50,0.5664,0.4169,0.397,-0.0839,0.0366,-0.0521
instruct,damaged_q4,cyb_60_str_40,0.508,0.3695,0.3644,-0.0792,0.0421,-0.0544
instruct,damaged_q4,cyb_75_str_25,0.3986,0.277,0.2981,-0.0615,0.0593,-0.0291
instruct,damaged_q4,cyber_only,0.1448,0.0988,0.1326,-0.0265,0.0621,-0.0168
instruct,damaged_q4,structural_only,0.6623,0.5036,0.4548,-0.0953,0.0044,-0.0504
instruct,damaged_q4,tri_boundary_heavy,0.6725,0.4758,0.4589,-0.0959,0.0477,-0.0491
instruct,damaged_q4,tri_cognitive_bridge,0.672,0.4767,0.4621,-0.0873,0.0374,-0.0427
instruct,damaged_q4,tri_cognitive_heavy,0.6072,0.4214,0.4213,-0.0831,0.0477,-0.0218
instruct,damaged_q4,tri_cyber_heavy,0.5951,0.418,0.4124,-0.0781,0.0619,-0.043
instruct,damaged_q4,tri_equal_routed,0.5911,0.4009,0.4143,-0.087,0.0591,-0.0216
instruct,damaged_q4,tri_naive_equal_all_fire,0.5898,0.2703,0.4026,-0.0722,0.2919,0.0103
instruct,damaged_q4,tri_naive_structural_heavy_all_fire,0.6906,0.3148,0.4547,-0.0972,0.284,0.0018
instruct,damaged_q4,tri_structural_heavy_55,0.7061,0.5141,0.48,-0.1014,0.0332,-0.0569
instruct,damaged_q4,tri_structural_heavy_60,0.7073,0.5045,0.4818,-0.1019,0.0293,-0.0422
instruct,damaged_q4,tri_structural_heavy_65,0.7133,0.5234,0.4855,-0.1033,0.0243,-0.063
instruct,healthy_q6,cog_25_cyb_75,0.2728,0.1703,0.163,-0.0128,0.0747,0.0293
instruct,healthy_q6,cog_25_str_75,0.488,0.3802,0.2875,-0.0355,0.006,-0.0036
instruct,healthy_q6,cog_40_cyb_60,0.2811,0.1758,0.1682,-0.0098,0.0706,0.0236
instruct,healthy_q6,cog_40_str_60,0.4925,0.3705,0.2874,-0.0395,0.0106,0.0049
instruct,healthy_q6,cog_50_cyb_50,0.2741,0.1697,0.1622,-0.0131,0.0627,0.0382
instruct,healthy_q6,cog_50_str_50,0.4895,0.3519,0.2862,-0.0361,0.0177,0.016
instruct,healthy_q6,cog_60_cyb_40,0.2666,0.165,0.1609,-0.0083,0.0588,0.0377
instruct,healthy_q6,cog_60_str_40,0.487,0.3419,0.2838,-0.0397,0.0219,0.025
instruct,healthy_q6,cog_75_cyb_25,0.2583,0.1649,0.156,-0.0133,0.0527,0.0335
instruct,healthy_q6,cog_75_str_25,0.4436,0.3085,0.2548,-0.0255,0.0291,0.0286
instruct,healthy_q6,cognitive_only,0.1239,0.0654,0.0807,0.0053,0.0389,0.0482
instruct,healthy_q6,cyb_25_str_75,0.4919,0.3716,0.2873,-0.0392,0.016,-0.0059
instruct,healthy_q6,cyb_40_str_60,0.4902,0.3643,0.2848,-0.04,0.0311,-0.007
instruct,healthy_q6,cyb_50_str_50,0.4752,0.3513,0.2788,-0.0334,0.0372,-0.0079
instruct,healthy_q6,cyb_60_str_40,0.4664,0.3271,0.2722,-0.0351,0.048,0.0055
instruct,healthy_q6,cyb_75_str_25,0.4241,0.2808,0.2453,-0.0309,0.06,0.0202
instruct,healthy_q6,cyber_only,0.2136,0.1252,0.1265,-0.0091,0.0672,0.0299
instruct,healthy_q6,structural_only,0.4944,0.3943,0.2894,-0.0408,0.0036,-0.0136
instruct,healthy_q6,tri_boundary_heavy,0.4944,0.3508,0.2872,-0.0419,0.0433,0.0053
instruct,healthy_q6,tri_cognitive_bridge,0.4898,0.3449,0.2862,-0.035,0.0406,0.0066
instruct,healthy_q6,tri_cognitive_heavy,0.488,0.3313,0.2853,-0.0342,0.0475,0.0175
instruct,healthy_q6,tri_cyber_heavy,0.4822,0.3199,0.2814,-0.0345,0.0699,0.0091
instruct,healthy_q6,tri_equal_routed,0.4805,0.3279,0.2827,-0.0305,0.0544,0.0086
instruct,healthy_q6,tri_naive_equal_all_fire,0.4403,0.1069,0.2433,-0.0109,0.2991,0.0674
instruct,healthy_q6,tri_naive_structural_heavy_all_fire,0.4637,0.1335,0.2539,-0.0237,0.2821,0.0591
instruct,healthy_q6,tri_structural_heavy_55,0.5027,0.3596,0.2911,-0.0469,0.0303,0.0061
instruct,healthy_q6,tri_structural_heavy_60,0.5008,0.3689,0.2899,-0.0456,0.0272,-0.0014
instruct,healthy_q6,tri_structural_heavy_65,0.4984,0.3758,0.2893,-0.045,0.0242,-0.0048
instruct,healthy_q8,cog_25_cyb_75,0.2427,0.1338,0.1349,0.0005,0.0668,0.0206
instruct,healthy_q8,cog_25_str_75,0.3453,0.2667,0.1937,-0.0101,0.0046,-0.0021
instruct,healthy_q8,cog_40_cyb_60,0.2466,0.1353,0.1349,0.0047,0.0663,0.0264
instruct,healthy_q8,cog_40_str_60,0.3473,0.2585,0.196,-0.0117,0.0118,0.0032
instruct,healthy_q8,cog_50_cyb_50,0.2434,0.1305,0.1351,0.0055,0.0646,0.0331
instruct,healthy_q8,cog_50_str_50,0.3416,0.2442,0.1925,-0.0059,0.0196,0.0095
instruct,healthy_q8,cog_60_cyb_40,0.2333,0.1274,0.1317,0.0088,0.0644,0.0298
instruct,healthy_q8,cog_60_str_40,0.337,0.2271,0.1907,-0.0042,0.0218,0.0171
instruct,healthy_q8,cog_75_cyb_25,0.2341,0.1232,0.1277,0.0019,0.0586,0.0293
instruct,healthy_q8,cog_75_str_25,0.3377,0.2219,0.1898,-0.0061,0.0293,0.0203
instruct,healthy_q8,cognitive_only,0.1273,0.0602,0.0723,0.0072,0.0355,0.0429
instruct,healthy_q8,cyb_25_str_75,0.3501,0.2764,0.1968,-0.0114,0.0133,-0.0152
instruct,healthy_q8,cyb_40_str_60,0.3492,0.2566,0.1961,-0.0151,0.0274,-0.0063
instruct,healthy_q8,cyb_50_str_50,0.3444,0.2416,0.1925,-0.0083,0.0391,-0.005
instruct,healthy_q8,cyb_60_str_40,0.3381,0.2314,0.1906,-0.008,0.0438,-0.0005
instruct,healthy_q8,cyb_75_str_25,0.3247,0.2069,0.1816,-0.0048,0.0608,0.0031
instruct,healthy_q8,cyber_only,0.1634,0.0705,0.0922,0.0045,0.0636,0.0326
instruct,healthy_q8,structural_only,0.3501,0.27,0.196,-0.014,0.0027,-0.005
instruct,healthy_q8,tri_boundary_heavy,0.3444,0.228,0.1943,-0.0089,0.0468,-0.001
instruct,healthy_q8,tri_cognitive_bridge,0.3442,0.2325,0.1917,-0.0095,0.0366,0.0095
instruct,healthy_q8,tri_cognitive_heavy,0.3398,0.2208,0.1908,-0.0036,0.0386,0.0182
instruct,healthy_q8,tri_cyber_heavy,0.3397,0.2094,0.1922,-0.0061,0.066,0.0037
instruct,healthy_q8,tri_equal_routed,0.3437,0.231,0.1945,-0.009,0.0474,0.0039
instruct,healthy_q8,tri_naive_equal_all_fire,0.3059,-0.0165,0.1551,0.0142,0.2986,0.0679
instruct,healthy_q8,tri_naive_structural_heavy_all_fire,0.3172,0.0077,0.1612,0.0053,0.2755,0.0559
instruct,healthy_q8,tri_structural_heavy_55,0.3469,0.2455,0.1953,-0.0125,0.0327,-0.0019
instruct,healthy_q8,tri_structural_heavy_60,0.3445,0.2457,0.1943,-0.0098,0.0279,-0.003
instruct,healthy_q8,tri_structural_heavy_65,0.3478,0.2527,0.1966,-0.0125,0.0283,-0.0068
