substrate,quant,stack,pressure_band,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
base,damaged_q4,tri_structural_heavy_65,high,1600,0.9025,0.6631,0.9437,0.9881,0.0844,0.0387,0.2675,0.0456,0.6064,none
base,damaged_q4,tri_structural_heavy_65,low,1600,0.915,0.7788,0.9638,0.9919,0.05,0.025,0.1288,0.0362,0.7466,none
base,damaged_q4,tri_structural_heavy_65,medium,1600,0.9181,0.73,0.9556,0.9894,0.0663,0.0369,0.1775,0.0431,0.6864,none
base,healthy_q6,baseline,extreme,1600,0.3713,0.2725,0.6069,0.7575,0.1356,0.0431,0.3275,1.675,0.1132,none
base,healthy_q6,baseline,high,1600,0.4562,0.3912,0.6528,0.7675,0.1019,0.0075,0.2306,1.3031,0.2756,none
base,healthy_q6,baseline,low,1600,0.4219,0.3856,0.728,0.8156,0.0525,0.0,0.1044,0.755,0.3238,none
base,healthy_q6,baseline,medium,1600,0.5144,0.48,0.7022,0.7975,0.0781,0.0056,0.135,1.0619,0.3915,none
base,healthy_q6,cog_25_cyb_75,extreme,1600,0.8781,0.5694,0.9126,0.985,0.0931,0.125,0.2919,0.1988,0.4832,none
base,healthy_q6,cog_25_cyb_75,high,1600,0.8819,0.6713,0.9255,0.9862,0.0725,0.0875,0.2044,0.1756,0.6069,none
base,healthy_q6,cog_25_cyb_75,low,1600,0.9113,0.7712,0.963,0.9869,0.04,0.06,0.1069,0.0519,0.7361,none
base,healthy_q6,cog_25_cyb_75,medium,1600,0.9119,0.7188,0.9474,0.9881,0.05,0.0819,0.1569,0.1138,0.6691,none
base,healthy_q6,cog_25_str_75,extreme,1600,0.925,0.6775,0.9479,0.9938,0.0681,0.0375,0.2781,0.055,0.6246,none
base,healthy_q6,cog_25_str_75,high,1600,0.9269,0.7344,0.9545,0.9906,0.0625,0.0244,0.205,0.05,0.6919,none
base,healthy_q6,cog_25_str_75,low,1600,0.9381,0.8219,0.9707,0.9906,0.0362,0.0069,0.1194,0.0275,0.7987,none
base,healthy_q6,cog_25_str_75,medium,1600,0.9369,0.8106,0.9648,0.9931,0.0456,0.0112,0.1331,0.0488,0.7816,none
base,healthy_q6,cog_40_cyb_60,extreme,1600,0.8719,0.5806,0.9175,0.9869,0.0975,0.1219,0.2706,0.1675,0.497,none
base,healthy_q6,cog_40_cyb_60,high,1600,0.9,0.6981,0.9349,0.9956,0.0706,0.075,0.1894,0.1475,0.6394,none
base,healthy_q6,cog_40_cyb_60,low,1600,0.9113,0.7675,0.9647,0.9956,0.05,0.0556,0.105,0.0419,0.7309,none
base,healthy_q6,cog_40_cyb_60,medium,1600,0.9206,0.7319,0.9501,0.9869,0.0544,0.0725,0.1506,0.0956,0.6842,none
base,healthy_q6,cog_40_str_60,extreme,1600,0.9187,0.66,0.9439,0.9919,0.075,0.0488,0.2869,0.06,0.6018,none
base,healthy_q6,cog_40_str_60,high,1600,0.9275,0.7406,0.9542,0.9881,0.0681,0.0206,0.1988,0.0425,0.698,none
base,healthy_q6,cog_40_str_60,low,1600,0.9369,0.8331,0.9715,0.9894,0.0338,0.0106,0.1062,0.0306,0.8108,none
base,healthy_q6,cog_40_str_60,medium,1600,0.9419,0.7906,0.9635,0.9906,0.0462,0.0219,0.1469,0.0481,0.7582,none
base,healthy_q6,cog_50_cyb_50,extreme,1600,0.8812,0.5831,0.9183,0.9875,0.0931,0.0994,0.2956,0.1706,0.5031,none
base,healthy_q6,cog_50_cyb_50,high,1600,0.8888,0.6725,0.9285,0.9906,0.0844,0.08,0.2081,0.1469,0.6072,none
base,healthy_q6,cog_50_cyb_50,low,1600,0.9137,0.7519,0.9641,0.9962,0.04,0.065,0.1219,0.0512,0.7146,none
base,healthy_q6,cog_50_cyb_50,medium,1600,0.9094,0.7256,0.9483,0.9906,0.0681,0.075,0.15,0.0881,0.6738,none
base,healthy_q6,cog_50_str_50,extreme,1600,0.9075,0.6381,0.9398,0.9888,0.0781,0.0519,0.3013,0.0663,0.5769,none
base,healthy_q6,cog_50_str_50,high,1600,0.925,0.7288,0.9499,0.9919,0.065,0.0256,0.2206,0.0663,0.6832,none
base,healthy_q6,cog_50_str_50,low,1600,0.9331,0.815,0.9702,0.99,0.0325,0.0156,0.1113,0.0356,0.7914,none
base,healthy_q6,cog_50_str_50,medium,1600,0.9425,0.7956,0.9628,0.9881,0.0488,0.0225,0.1519,0.0437,0.7622,none
base,healthy_q6,cog_60_cyb_40,extreme,1600,0.8712,0.5575,0.9153,0.9912,0.095,0.11,0.3194,0.1725,0.4728,none
base,healthy_q6,cog_60_cyb_40,high,1600,0.8962,0.6856,0.9325,0.9894,0.0719,0.0644,0.2137,0.1419,0.627,none
base,healthy_q6,cog_60_cyb_40,low,1600,0.9194,0.7731,0.965,0.9925,0.0356,0.0469,0.1219,0.05,0.7408,none
base,healthy_q6,cog_60_cyb_40,medium,1600,0.91,0.7369,0.9492,0.9906,0.0688,0.0712,0.1444,0.0844,0.6862,none
base,healthy_q6,cog_60_str_40,extreme,1600,0.9087,0.6131,0.9394,0.9912,0.0819,0.0688,0.3063,0.0619,0.5472,none
base,healthy_q6,cog_60_str_40,high,1600,0.9269,0.7288,0.9545,0.9919,0.0625,0.0381,0.2062,0.0519,0.6833,none
base,healthy_q6,cog_60_str_40,low,1600,0.92,0.8044,0.9661,0.9894,0.0456,0.0231,0.1044,0.0369,0.7759,none
base,healthy_q6,cog_60_str_40,medium,1600,0.9344,0.775,0.9623,0.9869,0.0488,0.0375,0.1469,0.045,0.7389,none
base,healthy_q6,cog_75_cyb_25,extreme,1600,0.875,0.5825,0.9155,0.9919,0.0956,0.0981,0.2944,0.1862,0.5013,none
base,healthy_q6,cog_75_cyb_25,high,1600,0.8912,0.6656,0.9315,0.9894,0.0788,0.0606,0.2331,0.1294,0.6048,none
base,healthy_q6,cog_75_cyb_25,low,1600,0.9237,0.7837,0.9664,0.9906,0.0394,0.0387,0.1194,0.04,0.7526,none
base,healthy_q6,cog_75_cyb_25,medium,1600,0.9062,0.7369,0.947,0.9894,0.0675,0.0537,0.15,0.0931,0.6892,none
base,healthy_q6,cog_75_str_25,extreme,1600,0.9038,0.5994,0.9332,0.9962,0.0887,0.0731,0.3212,0.0875,0.528,none
base,healthy_q6,cog_75_str_25,high,1600,0.9087,0.68,0.9441,0.9862,0.0781,0.0462,0.2263,0.0663,0.6259,none
base,healthy_q6,cog_75_str_25,low,1600,0.9287,0.8087,0.9687,0.9912,0.0387,0.0262,0.1106,0.035,0.7813,none
base,healthy_q6,cog_75_str_25,medium,1600,0.93,0.7644,0.9599,0.9875,0.0531,0.0375,0.1588,0.0481,0.7258,none
base,healthy_q6,cognitive_only,extreme,1600,0.7794,0.5181,0.8501,0.9875,0.1106,0.0712,0.33,0.5381,0.4174,none
base,healthy_q6,cognitive_only,high,1600,0.8025,0.6456,0.8746,0.9862,0.0856,0.0387,0.2162,0.4244,0.5737,none
base,healthy_q6,cognitive_only,low,1600,0.8419,0.7219,0.938,0.9894,0.0456,0.0244,0.1281,0.1325,0.6864,none
base,healthy_q6,cognitive_only,medium,1600,0.8606,0.7238,0.9118,0.9875,0.0531,0.0338,0.1613,0.2812,0.6741,none
base,healthy_q6,cyb_25_str_75,extreme,1600,0.9081,0.64,0.9414,0.9888,0.0813,0.0512,0.285,0.0575,0.5797,none
base,healthy_q6,cyb_25_str_75,high,1600,0.9244,0.725,0.9511,0.9869,0.0669,0.0331,0.2056,0.0563,0.6791,none
base,healthy_q6,cyb_25_str_75,low,1600,0.9369,0.8219,0.9699,0.9825,0.0338,0.0187,0.1113,0.0288,0.7977,none
base,healthy_q6,cyb_25_str_75,medium,1600,0.9275,0.7969,0.9617,0.9906,0.0537,0.0369,0.12,0.0525,0.7611,none
base,healthy_q6,cyb_40_str_60,extreme,1600,0.905,0.6262,0.9392,0.9894,0.0875,0.0788,0.2781,0.0612,0.5589,none
base,healthy_q6,cyb_40_str_60,high,1600,0.9213,0.7494,0.9542,0.9938,0.0663,0.0475,0.165,0.0638,0.7036,none
base,healthy_q6,cyb_40_str_60,low,1600,0.9406,0.82,0.9723,0.9894,0.0275,0.0281,0.1087,0.0338,0.7957,none
base,healthy_q6,cyb_40_str_60,medium,1600,0.9369,0.7963,0.9642,0.9875,0.0488,0.0356,0.1237,0.0437,0.7624,none
base,healthy_q6,cyb_50_str_50,extreme,1600,0.9075,0.6325,0.9401,0.9869,0.0819,0.075,0.2775,0.0625,0.5676,none
base,healthy_q6,cyb_50_str_50,high,1600,0.9413,0.7462,0.9595,0.99,0.0456,0.0444,0.1894,0.0563,0.7057,none
base,healthy_q6,cyb_50_str_50,low,1600,0.9344,0.8131,0.9706,0.99,0.0288,0.0338,0.1056,0.0387,0.7874,none
base,healthy_q6,cyb_50_str_50,medium,1600,0.9331,0.7881,0.962,0.9888,0.0512,0.0394,0.1275,0.0512,0.7521,none
base,healthy_q6,cyb_60_str_40,extreme,1600,0.9069,0.6519,0.9402,0.9769,0.0788,0.0762,0.2544,0.0656,0.5894,none
base,healthy_q6,cyb_60_str_40,high,1600,0.9281,0.7194,0.9536,0.9869,0.0625,0.0563,0.1981,0.0531,0.6709,none
base,healthy_q6,cyb_60_str_40,low,1600,0.9306,0.8244,0.9714,0.9944,0.0381,0.0325,0.0894,0.0331,0.7976,none
base,healthy_q6,cyb_60_str_40,medium,1600,0.9306,0.7569,0.9596,0.99,0.055,0.0612,0.1462,0.0525,0.7138,none
base,healthy_q6,cyb_75_str_25,extreme,1600,0.9094,0.6131,0.9386,0.9738,0.0719,0.1113,0.2581,0.0775,0.5448,none
base,healthy_q6,cyb_75_str_25,high,1600,0.9163,0.6994,0.9504,0.9819,0.0638,0.0719,0.1956,0.0625,0.6471,none
base,healthy_q6,cyb_75_str_25,low,1600,0.9237,0.8006,0.968,0.9875,0.04,0.0425,0.0969,0.0375,0.7705,none
base,healthy_q6,cyb_75_str_25,medium,1600,0.92,0.7412,0.9565,0.9844,0.0506,0.0706,0.1419,0.0688,0.6971,none
base,healthy_q6,cyber_only,extreme,1600,0.7925,0.5181,0.8644,0.925,0.1013,0.1288,0.3,0.3875,0.4186,none
base,healthy_q6,cyber_only,high,1600,0.8056,0.6238,0.8718,0.9431,0.085,0.07,0.2137,0.3769,0.5483,none
base,healthy_q6,cyber_only,low,1600,0.8256,0.7169,0.9309,0.9681,0.0413,0.0512,0.0912,0.1525,0.6793,none
base,healthy_q6,cyber_only,medium,1600,0.825,0.6625,0.9005,0.9419,0.0581,0.0681,0.1644,0.2737,0.6046,none
base,healthy_q6,structural_only,extreme,1600,0.9125,0.6594,0.9428,0.9844,0.0806,0.0387,0.2775,0.05,0.6027,none
base,healthy_q6,structural_only,high,1600,0.9044,0.74,0.9482,0.9875,0.0862,0.0125,0.1919,0.0456,0.694,none
base,healthy_q6,structural_only,low,1600,0.9231,0.8225,0.9676,0.9938,0.04,0.0037,0.1081,0.0387,0.7992,none
base,healthy_q6,structural_only,medium,1600,0.9369,0.7975,0.9631,0.9888,0.0462,0.0075,0.1537,0.045,0.7676,none
base,healthy_q6,tri_boundary_heavy,extreme,1600,0.9225,0.6325,0.9453,0.995,0.07,0.0819,0.2787,0.0625,0.5697,none
base,healthy_q6,tri_boundary_heavy,high,1600,0.9231,0.71,0.9521,0.99,0.0688,0.065,0.2006,0.0537,0.6576,none
base,healthy_q6,tri_boundary_heavy,low,1600,0.9281,0.8044,0.9686,0.9881,0.0356,0.0344,0.105,0.0369,0.7766,none
base,healthy_q6,tri_boundary_heavy,medium,1600,0.9294,0.7731,0.9618,0.9912,0.055,0.0475,0.1363,0.0469,0.7339,none
base,healthy_q6,tri_cognitive_bridge,extreme,1600,0.91,0.6356,0.9419,0.9938,0.0819,0.0856,0.2725,0.0625,0.569,none
base,healthy_q6,tri_cognitive_bridge,high,1600,0.9319,0.7288,0.9561,0.9912,0.0575,0.0587,0.1781,0.06,0.6825,none
base,healthy_q6,tri_cognitive_bridge,low,1600,0.9431,0.8106,0.9734,0.9925,0.0288,0.0362,0.1056,0.0306,0.7848,none
base,healthy_q6,tri_cognitive_bridge,medium,1600,0.9419,0.7806,0.9627,0.9869,0.0425,0.0456,0.1419,0.0537,0.7447,none
base,healthy_q6,tri_cognitive_heavy,extreme,1600,0.9187,0.5975,0.9423,0.9925,0.0744,0.0887,0.3131,0.0556,0.5296,none
base,healthy_q6,tri_cognitive_heavy,high,1600,0.9294,0.7137,0.9559,0.9881,0.0625,0.0563,0.1981,0.0425,0.6658,none
base,healthy_q6,tri_cognitive_heavy,low,1600,0.9356,0.8006,0.9703,0.9881,0.0306,0.035,0.1175,0.0331,0.7734,none
base,healthy_q6,tri_cognitive_heavy,medium,1600,0.9469,0.7825,0.967,0.9906,0.0425,0.0519,0.1338,0.0406,0.7466,none
base,healthy_q6,tri_cyber_heavy,extreme,1600,0.9113,0.6225,0.9411,0.9869,0.0794,0.1187,0.2581,0.0638,0.5511,none
base,healthy_q6,tri_cyber_heavy,high,1600,0.9213,0.7019,0.9533,0.9881,0.07,0.0775,0.1819,0.05,0.6483,none
base,healthy_q6,tri_cyber_heavy,low,1600,0.9225,0.7875,0.9655,0.9894,0.0431,0.0506,0.1087,0.04,0.7537,none
base,healthy_q6,tri_cyber_heavy,medium,1600,0.9231,0.7494,0.9596,0.9938,0.0606,0.0737,0.1319,0.0531,0.7032,none
base,healthy_q6,tri_equal_routed,extreme,1600,0.905,0.6019,0.9374,0.9856,0.085,0.0956,0.3069,0.0569,0.5299,none
base,healthy_q6,tri_equal_routed,high,1600,0.9275,0.6894,0.9535,0.9925,0.0688,0.0706,0.2069,0.0475,0.6357,none
base,healthy_q6,tri_equal_routed,low,1600,0.9294,0.7881,0.9687,0.9912,0.0344,0.05,0.1106,0.04,0.757,none
base,healthy_q6,tri_equal_routed,medium,1600,0.935,0.7494,0.9616,0.9888,0.0456,0.0775,0.14,0.0569,0.7061,none
base,healthy_q6,tri_naive_equal_all_fire,extreme,1600,0.8738,0.3744,0.8951,0.9875,0.09,0.3925,0.3806,0.0506,0.2359,none
base,healthy_q6,tri_naive_equal_all_fire,high,1600,0.9019,0.4863,0.9233,0.9912,0.0719,0.3231,0.2487,0.0488,0.3777,none
base,healthy_q6,tri_naive_equal_all_fire,low,1600,0.9137,0.595,0.9426,0.9906,0.0569,0.2281,0.1681,0.0275,0.5175,none
base,healthy_q6,tri_naive_equal_all_fire,medium,1600,0.91,0.5725,0.9339,0.9888,0.0638,0.2863,0.1706,0.0437,0.4803,none
base,healthy_q6,tri_naive_structural_heavy_all_fire,extreme,1600,0.885,0.4019,0.8988,0.99,0.0894,0.3769,0.335,0.0569,0.27,none
base,healthy_q6,tri_naive_structural_heavy_all_fire,high,1600,0.8912,0.4838,0.9222,0.9894,0.0769,0.3063,0.235,0.055,0.3779,none
base,healthy_q6,tri_naive_structural_heavy_all_fire,low,1600,0.915,0.605,0.9441,0.9894,0.0462,0.2294,0.1431,0.0387,0.5319,none
base,healthy_q6,tri_naive_structural_heavy_all_fire,medium,1600,0.9175,0.5437,0.934,0.9944,0.0644,0.275,0.1981,0.0431,0.4514,none
base,healthy_q6,tri_structural_heavy_55,extreme,1600,0.9263,0.6275,0.9445,0.9919,0.0663,0.08,0.2831,0.0694,0.5655,none
base,healthy_q6,tri_structural_heavy_55,high,1600,0.9287,0.7212,0.9547,0.9869,0.0631,0.0481,0.1975,0.0469,0.6745,none
base,healthy_q6,tri_structural_heavy_55,low,1600,0.9225,0.815,0.9674,0.9912,0.0375,0.0288,0.0969,0.0437,0.7881,none
base,healthy_q6,tri_structural_heavy_55,medium,1600,0.9331,0.7869,0.9624,0.9862,0.05,0.0413,0.1344,0.0462,0.7506,none
base,healthy_q6,tri_structural_heavy_60,extreme,1600,0.9281,0.6613,0.9488,0.9888,0.0644,0.0737,0.2656,0.0531,0.6033,none
base,healthy_q6,tri_structural_heavy_60,high,1600,0.935,0.735,0.9581,0.9938,0.0581,0.0462,0.1894,0.0488,0.6907,none
base,healthy_q6,tri_structural_heavy_60,low,1600,0.9394,0.82,0.9727,0.9888,0.0312,0.0356,0.0956,0.0312,0.7943,none
base,healthy_q6,tri_structural_heavy_60,medium,1600,0.9475,0.8044,0.9679,0.9925,0.0381,0.0387,0.1263,0.0462,0.7728,none
base,healthy_q6,tri_structural_heavy_65,extreme,1600,0.9319,0.6556,0.951,0.99,0.0606,0.0712,0.2669,0.0469,0.5995,none
base,healthy_q6,tri_structural_heavy_65,high,1600,0.9256,0.7238,0.9517,0.9894,0.0669,0.0419,0.1981,0.0587,0.6765,none
base,healthy_q6,tri_structural_heavy_65,low,1600,0.9263,0.8094,0.9676,0.9881,0.0319,0.0219,0.1125,0.0437,0.7842,none
base,healthy_q6,tri_structural_heavy_65,medium,1600,0.9463,0.7863,0.9647,0.9881,0.0431,0.0344,0.1475,0.0437,0.7524,none
base,healthy_q8,baseline,extreme,1600,0.5594,0.435,0.7276,0.8281,0.0806,0.0312,0.2412,1.1581,0.3274,none
base,healthy_q8,baseline,high,1600,0.6381,0.5587,0.7644,0.8544,0.0656,0.0131,0.1906,0.8881,0.4768,none
base,healthy_q8,baseline,low,1600,0.56,0.5062,0.8111,0.8669,0.0244,0.0,0.0975,0.5269,0.4648,none
base,healthy_q8,baseline,medium,1600,0.6375,0.5844,0.782,0.8544,0.0375,0.0088,0.1275,0.7969,0.5213,none
base,healthy_q8,cog_25_cyb_75,extreme,1600,0.9281,0.6438,0.9478,0.9925,0.0625,0.1194,0.245,0.0675,0.5782,none
base,healthy_q8,cog_25_cyb_75,high,1600,0.9444,0.7262,0.9603,0.9888,0.0419,0.0781,0.1844,0.0594,0.6803,none
base,healthy_q8,cog_25_cyb_75,low,1600,0.9475,0.8094,0.9756,0.9906,0.0231,0.0569,0.095,0.0306,0.7819,none
base,healthy_q8,cog_25_cyb_75,medium,1600,0.9494,0.7744,0.9676,0.99,0.0362,0.0769,0.1263,0.0488,0.7356,none
base,healthy_q8,cog_25_str_75,extreme,1600,0.9413,0.6944,0.9563,0.9912,0.0488,0.0512,0.2469,0.0512,0.6472,none
base,healthy_q8,cog_25_str_75,high,1600,0.945,0.7875,0.964,0.9862,0.0456,0.02,0.165,0.0375,0.7547,none
base,healthy_q8,cog_25_str_75,low,1600,0.9469,0.8631,0.9762,0.9888,0.0194,0.0069,0.0819,0.035,0.8476,none
base,healthy_q8,cog_25_str_75,medium,1600,0.9469,0.8287,0.969,0.9919,0.0375,0.0175,0.1225,0.0431,0.802,none
base,healthy_q8,cog_40_cyb_60,extreme,1600,0.9269,0.6212,0.9448,0.9856,0.06,0.1206,0.2525,0.0788,0.555,none
base,healthy_q8,cog_40_cyb_60,high,1600,0.9406,0.7294,0.9601,0.9931,0.0494,0.0825,0.1681,0.0587,0.6817,none
base,healthy_q8,cog_40_cyb_60,low,1600,0.9406,0.7944,0.9725,0.9869,0.0269,0.0594,0.1062,0.0325,0.7643,none
base,healthy_q8,cog_40_cyb_60,medium,1600,0.9456,0.7738,0.9665,0.9894,0.0338,0.0681,0.1319,0.055,0.7367,none
base,healthy_q8,cog_40_str_60,extreme,1600,0.9356,0.6931,0.9524,0.9875,0.0525,0.0512,0.2544,0.0575,0.6439,none
base,healthy_q8,cog_40_str_60,high,1600,0.9419,0.7662,0.9632,0.9912,0.05,0.03,0.1762,0.0362,0.7293,none
base,healthy_q8,cog_40_str_60,low,1600,0.9444,0.8469,0.9765,0.9944,0.0181,0.0169,0.0894,0.0369,0.8291,none
base,healthy_q8,cog_40_str_60,medium,1600,0.9525,0.8319,0.9682,0.9869,0.0312,0.0213,0.1187,0.0525,0.8061,none
base,healthy_q8,cog_50_cyb_50,extreme,1600,0.9394,0.6469,0.9529,0.9925,0.0519,0.115,0.235,0.0631,0.5864,none
base,healthy_q8,cog_50_cyb_50,high,1600,0.9237,0.7069,0.9517,0.9894,0.0631,0.0719,0.1844,0.0694,0.6553,none
base,healthy_q8,cog_50_cyb_50,low,1600,0.9281,0.7937,0.9692,0.9919,0.0312,0.0494,0.1025,0.045,0.7641,none
base,healthy_q8,cog_50_cyb_50,medium,1600,0.9494,0.79,0.9671,0.9912,0.0338,0.0731,0.1138,0.0606,0.7531,none
base,healthy_q8,cog_50_str_50,extreme,1600,0.9425,0.6787,0.9532,0.9925,0.0519,0.0638,0.2612,0.0563,0.6267,none
base,healthy_q8,cog_50_str_50,high,1600,0.9494,0.7806,0.9619,0.9931,0.0437,0.0262,0.1675,0.0594,0.7459,none
base,healthy_q8,cog_50_str_50,low,1600,0.9281,0.8237,0.9691,0.9906,0.035,0.0156,0.1031,0.0381,0.8,none
base,healthy_q8,cog_50_str_50,medium,1600,0.95,0.8194,0.967,0.9844,0.0325,0.0219,0.1237,0.0519,0.7928,none
base,healthy_q8,cog_60_cyb_40,extreme,1600,0.9237,0.6281,0.9446,0.9888,0.0669,0.1125,0.2481,0.0737,0.562,none
base,healthy_q8,cog_60_cyb_40,high,1600,0.935,0.7244,0.9578,0.9912,0.0519,0.0569,0.1875,0.0581,0.6795,none
base,healthy_q8,cog_60_cyb_40,low,1600,0.9331,0.8037,0.9706,0.9931,0.0269,0.0494,0.1013,0.0444,0.7755,none
base,healthy_q8,cog_60_cyb_40,medium,1600,0.9537,0.7712,0.9683,0.99,0.0269,0.0663,0.1419,0.0531,0.7359,none
base,healthy_q8,cog_60_str_40,extreme,1600,0.9275,0.6519,0.9461,0.9856,0.0638,0.0725,0.2644,0.065,0.5939,none
base,healthy_q8,cog_60_str_40,high,1600,0.9394,0.7575,0.9575,0.9912,0.055,0.0319,0.1725,0.0594,0.7179,none
base,healthy_q8,cog_60_str_40,low,1600,0.9463,0.8431,0.976,0.9912,0.0156,0.0175,0.0969,0.0381,0.8253,none
base,healthy_q8,cog_60_str_40,medium,1600,0.9487,0.8119,0.9666,0.99,0.0381,0.0288,0.1263,0.0506,0.7821,none
base,healthy_q8,cog_75_cyb_25,extreme,1600,0.9194,0.635,0.9447,0.9906,0.0669,0.1,0.2587,0.0731,0.5706,none
base,healthy_q8,cog_75_cyb_25,high,1600,0.9356,0.7194,0.959,0.9931,0.0444,0.0587,0.2013,0.06,0.6752,none
base,healthy_q8,cog_75_cyb_25,low,1600,0.9475,0.8175,0.9755,0.9912,0.0219,0.0456,0.1056,0.0306,0.7918,none
base,healthy_q8,cog_75_cyb_25,medium,1600,0.9369,0.7719,0.9624,0.9912,0.0444,0.0544,0.1437,0.0563,0.7334,none
base,healthy_q8,cog_75_str_25,extreme,1600,0.9319,0.6787,0.9519,0.9925,0.0544,0.0581,0.2594,0.0606,0.627,none
base,healthy_q8,cog_75_str_25,high,1600,0.95,0.7538,0.9645,0.9938,0.0387,0.0537,0.1756,0.0506,0.7148,none
base,healthy_q8,cog_75_str_25,low,1600,0.9363,0.8269,0.9718,0.9881,0.0288,0.0325,0.0919,0.0362,0.8026,none
base,healthy_q8,cog_75_str_25,medium,1600,0.9475,0.8013,0.9683,0.9888,0.0331,0.0406,0.1269,0.0481,0.7706,none
base,healthy_q8,cognitive_only,extreme,1600,0.9069,0.6581,0.9296,0.9888,0.0663,0.085,0.2437,0.1762,0.5929,none
base,healthy_q8,cognitive_only,high,1600,0.9137,0.725,0.9426,0.9944,0.065,0.0419,0.1938,0.12,0.6756,none
base,healthy_q8,cognitive_only,low,1600,0.935,0.8194,0.9722,0.9912,0.0244,0.0269,0.0994,0.0419,0.7966,none
base,healthy_q8,cognitive_only,medium,1600,0.935,0.7775,0.9592,0.9931,0.0444,0.0387,0.1456,0.075,0.741,none
base,healthy_q8,cyb_25_str_75,extreme,1600,0.9475,0.7125,0.9582,0.9894,0.0419,0.0537,0.2331,0.0537,0.6679,none
base,healthy_q8,cyb_25_str_75,high,1600,0.95,0.7869,0.9642,0.9919,0.0419,0.0244,0.1656,0.05,0.7537,none
base,healthy_q8,cyb_25_str_75,low,1600,0.9444,0.8419,0.9746,0.9869,0.0206,0.0169,0.0938,0.0344,0.8231,none
base,healthy_q8,cyb_25_str_75,medium,1600,0.9525,0.83,0.9701,0.9912,0.0344,0.0269,0.1144,0.045,0.8029,none
base,healthy_q8,cyb_40_str_60,extreme,1600,0.9419,0.6775,0.954,0.9912,0.0519,0.0825,0.2394,0.0581,0.6234,none
base,healthy_q8,cyb_40_str_60,high,1600,0.9563,0.7812,0.9644,0.9906,0.0356,0.0319,0.1656,0.0563,0.7481,none
base,healthy_q8,cyb_40_str_60,low,1600,0.9431,0.8425,0.9751,0.9931,0.0225,0.0181,0.0925,0.0362,0.8229,none
base,healthy_q8,cyb_40_str_60,medium,1600,0.955,0.8181,0.9693,0.9906,0.0325,0.035,0.1181,0.05,0.7894,none
base,healthy_q8,cyb_50_str_50,extreme,1600,0.9369,0.6844,0.9518,0.99,0.0556,0.0869,0.2206,0.0688,0.6292,none
base,healthy_q8,cyb_50_str_50,high,1600,0.9525,0.7869,0.9631,0.9862,0.0431,0.045,0.1425,0.0544,0.7508,none
base,healthy_q8,cyb_50_str_50,low,1600,0.945,0.8381,0.9746,0.9906,0.0256,0.0238,0.0975,0.0319,0.8163,none
base,healthy_q8,cyb_50_str_50,medium,1600,0.9544,0.825,0.9709,0.9919,0.0331,0.0494,0.1025,0.0481,0.7946,none
base,healthy_q8,cyb_60_str_40,extreme,1600,0.925,0.6725,0.9492,0.9894,0.0681,0.0938,0.2244,0.0563,0.6125,none
base,healthy_q8,cyb_60_str_40,high,1600,0.9387,0.7594,0.9598,0.9925,0.0475,0.06,0.1625,0.065,0.7169,none
base,healthy_q8,cyb_60_str_40,low,1600,0.9225,0.8069,0.9681,0.9881,0.0325,0.03,0.095,0.0456,0.7812,none
base,healthy_q8,cyb_60_str_40,medium,1600,0.9663,0.8219,0.9747,0.9912,0.0206,0.0475,0.1144,0.0431,0.7949,none
base,healthy_q8,cyb_75_str_25,extreme,1600,0.9244,0.6375,0.9463,0.9831,0.06,0.1163,0.2525,0.0675,0.5727,none
base,healthy_q8,cyb_75_str_25,high,1600,0.9375,0.73,0.9603,0.9925,0.0537,0.0825,0.1681,0.0494,0.6815,none
base,healthy_q8,cyb_75_str_25,low,1600,0.93,0.8175,0.9697,0.9844,0.0375,0.0462,0.0819,0.0338,0.7888,none
base,healthy_q8,cyb_75_str_25,medium,1600,0.9506,0.8063,0.9701,0.9938,0.0375,0.0569,0.11,0.0437,0.7726,none
base,healthy_q8,cyber_only,extreme,1600,0.8912,0.6212,0.9254,0.9663,0.0675,0.1175,0.235,0.1675,0.5503,none
base,healthy_q8,cyber_only,high,1600,0.9175,0.7025,0.939,0.9781,0.0444,0.0844,0.1837,0.1506,0.6501,none
base,healthy_q8,cyber_only,low,1600,0.9125,0.785,0.9642,0.9862,0.0312,0.0525,0.0956,0.0587,0.7545,none
base,healthy_q8,cyber_only,medium,1600,0.925,0.76,0.9548,0.9844,0.045,0.0806,0.1187,0.0944,0.7162,none
base,healthy_q8,structural_only,extreme,1600,0.94,0.7,0.9545,0.9894,0.0563,0.0394,0.2369,0.05,0.6538,none
base,healthy_q8,structural_only,high,1600,0.9456,0.7819,0.9608,0.9894,0.0462,0.0112,0.1787,0.0519,0.7489,none
base,healthy_q8,structural_only,low,1600,0.9406,0.85,0.9739,0.99,0.0275,0.0031,0.0925,0.0312,0.8322,none
base,healthy_q8,structural_only,medium,1600,0.9469,0.8256,0.9678,0.9881,0.0369,0.0169,0.1194,0.0462,0.7993,none
base,healthy_q8,tri_boundary_heavy,extreme,1600,0.9475,0.6781,0.9541,0.9894,0.0437,0.105,0.2306,0.0681,0.6221,none
base,healthy_q8,tri_boundary_heavy,high,1600,0.9431,0.745,0.9607,0.9925,0.0481,0.065,0.1681,0.0569,0.7013,none
