substrate,quant,stack,pressure_band,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
base,collapsed_q2_edge,cog_60_str_40,medium,1600,0.0244,0.0225,0.1962,0.59,0.4913,0.0312,0.4875,3.0131,-0.3208,cascade
base,collapsed_q2_edge,cog_75_cyb_25,extreme,1600,0.0,0.0,0.0066,0.3794,0.9838,0.1125,1.0725,5.5875,-0.6828,cascade
base,collapsed_q2_edge,cog_75_cyb_25,high,1600,0.0013,0.0013,0.034,0.4631,0.8744,0.0606,0.7175,4.5044,-0.5558,cascade
base,collapsed_q2_edge,cog_75_cyb_25,low,1600,0.0231,0.0119,0.2033,0.635,0.3937,0.0506,0.3431,2.4119,-0.2644,cascade
base,collapsed_q2_edge,cog_75_cyb_25,medium,1600,0.0063,0.005,0.1014,0.5681,0.6369,0.065,0.4944,3.6606,-0.4216,cascade
base,collapsed_q2_edge,cog_75_str_25,extreme,1600,0.0013,0.0013,0.0252,0.4213,0.935,0.0788,1.0575,5.1675,-0.638,cascade
base,collapsed_q2_edge,cog_75_str_25,high,1600,0.0056,0.0025,0.0765,0.525,0.7619,0.0387,0.6919,4.0088,-0.4896,cascade
base,collapsed_q2_edge,cog_75_str_25,low,1600,0.0475,0.0281,0.2756,0.6581,0.3606,0.0306,0.3656,2.0944,-0.2202,cascade
base,collapsed_q2_edge,cog_75_str_25,medium,1600,0.0144,0.0119,0.1579,0.5894,0.5537,0.0425,0.5231,3.285,-0.3689,cascade
base,collapsed_q2_edge,cognitive_only,extreme,1600,0.0,0.0,0.0023,0.2931,0.9819,0.0813,1.15,5.8475,-0.6952,cascade
base,collapsed_q2_edge,cognitive_only,high,1600,0.0,0.0,0.0144,0.3825,0.945,0.0519,0.76,4.8656,-0.598,cascade
base,collapsed_q2_edge,cognitive_only,low,1600,0.0125,0.0088,0.1506,0.5444,0.4531,0.0306,0.3588,2.6562,-0.2948,cascade
base,collapsed_q2_edge,cognitive_only,medium,1600,0.0019,0.0013,0.0559,0.4475,0.7031,0.0394,0.5413,4.0694,-0.4643,cascade
base,collapsed_q2_edge,cyb_25_str_75,extreme,1600,0.0094,0.0044,0.1289,0.4594,0.7325,0.0625,0.8688,3.6869,-0.4817,cascade
base,collapsed_q2_edge,cyb_25_str_75,high,1600,0.0406,0.0256,0.1988,0.5369,0.5913,0.0275,0.5675,3.0,-0.3527,cascade
base,collapsed_q2_edge,cyb_25_str_75,low,1600,0.1394,0.1056,0.4529,0.6856,0.2569,0.0156,0.3069,1.4531,-0.0718,cascade
base,collapsed_q2_edge,cyb_25_str_75,medium,1600,0.0875,0.0706,0.3077,0.565,0.4194,0.0244,0.4081,2.3862,-0.212,cascade
base,collapsed_q2_edge,cyb_40_str_60,extreme,1600,0.0131,0.0075,0.1038,0.4263,0.7588,0.0788,0.8956,3.9725,-0.5061,cascade
base,collapsed_q2_edge,cyb_40_str_60,high,1600,0.03,0.0175,0.1693,0.5119,0.6219,0.0413,0.5744,3.23,-0.3848,cascade
base,collapsed_q2_edge,cyb_40_str_60,low,1600,0.1081,0.0744,0.3956,0.6637,0.2731,0.0319,0.3044,1.6538,-0.121,cascade
base,collapsed_q2_edge,cyb_40_str_60,medium,1600,0.0731,0.0575,0.2736,0.5737,0.46,0.0344,0.4225,2.565,-0.2494,cascade
base,collapsed_q2_edge,cyb_50_str_50,extreme,1600,0.0069,0.0025,0.092,0.4219,0.8,0.0925,0.8744,4.105,-0.5312,cascade
base,collapsed_q2_edge,cyb_50_str_50,high,1600,0.0206,0.0094,0.1439,0.4944,0.6594,0.0506,0.5863,3.3881,-0.4149,cascade
base,collapsed_q2_edge,cyb_50_str_50,low,1600,0.0963,0.0737,0.3779,0.6863,0.3038,0.0419,0.28,1.7469,-0.1355,cascade
base,collapsed_q2_edge,cyb_50_str_50,medium,1600,0.0706,0.0544,0.2562,0.5831,0.4487,0.0488,0.4281,2.6919,-0.2588,cascade
base,collapsed_q2_edge,cyb_60_str_40,extreme,1600,0.0025,0.0,0.0687,0.4269,0.8438,0.1013,0.8819,4.3637,-0.5621,cascade
base,collapsed_q2_edge,cyb_60_str_40,high,1600,0.0194,0.0106,0.131,0.5112,0.6763,0.0631,0.5737,3.5631,-0.4289,cascade
base,collapsed_q2_edge,cyb_60_str_40,low,1600,0.0694,0.0475,0.3467,0.6575,0.315,0.0312,0.3106,1.8525,-0.1707,cascade
base,collapsed_q2_edge,cyb_60_str_40,medium,1600,0.0512,0.04,0.2299,0.5669,0.4713,0.0619,0.4163,2.8563,-0.2899,cascade
base,collapsed_q2_edge,cyb_75_str_25,extreme,1600,0.0006,0.0006,0.0478,0.4231,0.8819,0.1206,0.9256,4.6306,-0.5936,cascade
base,collapsed_q2_edge,cyb_75_str_25,high,1600,0.015,0.0081,0.1015,0.4831,0.7163,0.0669,0.6238,3.8306,-0.4616,cascade
base,collapsed_q2_edge,cyb_75_str_25,low,1600,0.065,0.0525,0.3134,0.6606,0.3256,0.0469,0.3237,1.9563,-0.1783,cascade
base,collapsed_q2_edge,cyb_75_str_25,medium,1600,0.0475,0.0375,0.1927,0.5613,0.5387,0.06,0.4275,3.0769,-0.3242,cascade
