signal,signal_strength,bundle_size,bundle,pass_rate,mean_score,classified_rate,cascade_rate,avg_distractors,worst_task_rate
saturated,0.95,7,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.5694,0.7398,0.8229,0.1326,0.6472,0.0444
very_strong,0.7,7,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.5674,0.7352,0.784,0.1368,0.5424,0.0722
saturated,0.95,7,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+DANGER_CHECK,0.5639,0.7488,0.791,0.1326,0.6799,0.0722
saturated,0.95,8,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.5618,0.7492,0.7993,0.1437,0.7333,0.1
very_strong,0.7,8,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.5583,0.7477,0.7715,0.1375,0.609,0.1167
very_strong,0.7,8,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.5569,0.7644,0.7694,0.1153,0.6479,0.2667
saturated,0.95,8,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.5563,0.77,0.8285,0.1361,0.7319,0.3
very_strong,0.7,7,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.5549,0.7543,0.8014,0.134,0.5312,0.0556
saturated,0.95,7,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.5507,0.7677,0.8417,0.109,0.5132,0.1722
very_strong,0.7,7,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND,0.5507,0.7041,0.6806,0.1785,0.5417,0.0278
saturated,0.95,7,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN,0.55,0.7562,0.7896,0.1146,0.5708,0.0833
saturated,0.95,7,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND,0.5479,0.7191,0.7188,0.1611,0.6167,0.0444
very_strong,0.7,8,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN,0.5479,0.73,0.7097,0.1757,0.5965,0.0222
very_strong,0.7,7,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+DANGER_CHECK,0.5472,0.7391,0.7576,0.159,0.5806,0.0667
saturated,0.95,8,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND,0.5451,0.725,0.716,0.1694,0.7562,0.0333
saturated,0.95,6,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+DANGER_CHECK,0.5444,0.7072,0.7715,0.1535,0.5653,0.0444
very_strong,0.7,8,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.5396,0.7352,0.7528,0.15,0.6514,0.05
saturated,0.95,7,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+DANGER_CHECK,0.5396,0.712,0.7694,0.1535,0.6826,0.05
saturated,0.95,6,EXTRACT_GIVENS+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.5389,0.731,0.8285,0.1361,0.4875,0.0722
very_strong,0.7,8,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+DANGER_CHECK,0.5375,0.747,0.7299,0.1444,0.6854,0.2222
saturated,0.95,7,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN,0.5368,0.724,0.7688,0.1479,0.5583,0.0444
very_strong,0.7,7,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.5361,0.747,0.7833,0.1368,0.4722,0.2
very_strong,0.7,6,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+DANGER_CHECK,0.5319,0.6869,0.7257,0.1688,0.525,0.0556
saturated,0.95,8,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN,0.5299,0.7306,0.7465,0.1375,0.7375,0.05
saturated,0.95,7,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+VERIFY_RESULT+UNCERTAINTY_BOUND+DANGER_CHECK,0.5278,0.755,0.791,0.1347,0.5653,0.2944
very_strong,0.7,7,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN,0.5278,0.7356,0.7514,0.1396,0.5111,0.0389
saturated,0.95,8,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+DANGER_CHECK,0.5243,0.7497,0.7826,0.1542,0.7576,0.2611
saturated,0.95,7,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.5236,0.7562,0.8236,0.1208,0.5507,0.2944
saturated,0.95,8,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+DANGER_CHECK,0.5229,0.747,0.7674,0.1562,0.825,0.2389
saturated,0.95,7,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND,0.5229,0.6986,0.7125,0.1847,0.6465,0.0167
saturated,0.95,6,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+DANGER_CHECK,0.5215,0.7356,0.7861,0.1354,0.5326,0.1
very_strong,0.7,6,EXTRACT_GIVENS+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.5208,0.7197,0.7785,0.1479,0.4174,0.0944
very_strong,0.7,7,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+VERIFY_RESULT+UNCERTAINTY_BOUND+DANGER_CHECK,0.5194,0.7444,0.7333,0.1479,0.5,0.2667
saturated,0.95,9,EXTRACT_GIVENS+SOURCE_BOUNDARY+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.5194,0.7427,0.7764,0.1354,0.8931,0.2056
very_strong,0.7,9,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN,0.5181,0.7359,0.675,0.1694,0.6799,0.1722
saturated,0.95,5,EXTRACT_GIVENS+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+DANGER_CHECK,0.5181,0.6934,0.7785,0.1486,0.4521,0.0667
very_strong,0.7,9,EXTRACT_GIVENS+SOURCE_BOUNDARY+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.5167,0.7382,0.7479,0.1389,0.7847,0.2833
saturated,0.95,6,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND,0.5167,0.6821,0.7104,0.1681,0.5639,0.0
very_strong,0.7,7,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN,0.516,0.7116,0.7521,0.1562,0.5319,0.0333
saturated,0.95,7,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+DANGER_CHECK,0.5139,0.7328,0.7833,0.1417,0.5958,0.1278
very_strong,0.7,6,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND,0.5132,0.6844,0.6986,0.1674,0.4965,0.0167
very_strong,0.7,8,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+DANGER_CHECK,0.5111,0.7339,0.6972,0.1556,0.6444,0.2944
saturated,0.95,8,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN,0.5097,0.7421,0.7528,0.1382,0.6958,0.2444
very_strong,0.7,8,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND,0.5097,0.7118,0.6687,0.1833,0.6333,0.0111
very_strong,0.7,7,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.509,0.7476,0.7806,0.1181,0.4958,0.2611
saturated,0.95,8,EXTRACT_GIVENS+SOURCE_BOUNDARY+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.5083,0.7437,0.7722,0.1319,0.7306,0.2778
very_strong,0.7,8,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN,0.5083,0.706,0.6826,0.1625,0.6549,0.0389
saturated,0.95,7,EXTRACT_GIVENS+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.5076,0.7346,0.8049,0.1347,0.6368,0.1
very_strong,0.7,7,EXTRACT_GIVENS+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.5069,0.7262,0.7583,0.1417,0.5493,0.1
very_strong,0.7,6,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+DANGER_CHECK,0.5069,0.7172,0.7514,0.1639,0.4944,0.0556
strong,0.46,9,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.5042,0.7148,0.7257,0.1514,0.5472,0.1722
saturated,0.95,6,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND,0.5042,0.7095,0.7361,0.1625,0.491,0.0889
very_strong,0.7,7,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+DANGER_CHECK,0.5014,0.6819,0.6965,0.2076,0.6153,0.0167
saturated,0.95,6,EXTRACT_GIVENS+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+DANGER_CHECK,0.5007,0.7099,0.7653,0.1479,0.5535,0.0611
very_strong,0.7,6,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND,0.5007,0.6973,0.7097,0.1799,0.4368,0.05
saturated,0.95,8,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.5,0.747,0.7937,0.1271,0.7035,0.2778
saturated,0.95,7,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+DANGER_CHECK,0.4993,0.7489,0.7826,0.1319,0.6618,0.2722
saturated,0.95,6,EXTRACT_GIVENS+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN,0.4993,0.7093,0.7576,0.1368,0.4743,0.1
saturated,0.95,7,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+DANGER_CHECK,0.4993,0.7154,0.7646,0.1451,0.6319,0.0667
very_strong,0.7,7,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND,0.4993,0.6758,0.6681,0.2097,0.5806,0.0
saturated,0.95,7,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+UNIT_TRACK+STEP_COMPUTE+VERIFY_RESULT+ORIGINAL_TASK_RETURN,0.4965,0.7047,0.7583,0.1514,0.625,0.0056
strong,0.46,8,EXTRACT_GIVENS+SOURCE_BOUNDARY+MAP_RELATION+STEP_COMPUTE+VERIFY_RESULT+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.4938,0.7062,0.7438,0.1444,0.4681,0.1889
very_strong,0.7,8,EXTRACT_GIVENS+MAP_RELATION+UNIT_TRACK+VERIFY_RESULT+COMPARE_AXES+UNCERTAINTY_BOUND+ORIGINAL_TASK_RETURN+DANGER_CHECK,0.4903,0.7361,0.7514,0.1437,0.6111,0.2
