model,substrate,quant,stack,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,degraded_instruct,damaged_q2,cognitive_structural_25_75,5600,0.6691,0.4916,0.8114,0.9132,0.1263,0.0241,0.3446,0.5513,0.3938,none
27b,degraded_instruct,damaged_q2,cyber_structural_25_75,5600,0.6595,0.4804,0.8039,0.8689,0.1395,0.0364,0.3282,0.5116,0.3794,none
27b,degraded_instruct,damaged_q2,q2_structural_amplifier,5600,0.8466,0.4302,0.9001,0.9788,0.1125,0.2889,0.353,0.0521,0.3078,none
27b,degraded_instruct,damaged_q2,routed_tri_structural_60,5600,0.7921,0.5532,0.8803,0.9398,0.1155,0.0537,0.337,0.2434,0.4687,none
27b,degraded_instruct,damaged_q2,routed_tri_structural_65,5600,0.8077,0.5625,0.8878,0.9298,0.1164,0.0459,0.3329,0.1938,0.4821,none
27b,degraded_instruct,damaged_q2,stability_first_tri_70,5600,0.8336,0.5773,0.907,0.9463,0.1011,0.0448,0.3379,0.1334,0.5043,none
27b,degraded_instruct,damaged_q3,cognitive_structural_25_75,5600,0.9046,0.6843,0.9466,0.99,0.0752,0.0246,0.2534,0.0488,0.6341,none
27b,degraded_instruct,damaged_q3,cyber_structural_25_75,5600,0.9032,0.6954,0.9462,0.9862,0.0759,0.0334,0.2295,0.0539,0.6449,none
27b,degraded_instruct,damaged_q3,q2_structural_amplifier,5600,0.8973,0.4936,0.9204,0.9898,0.0721,0.2871,0.2846,0.0491,0.3893,none
27b,degraded_instruct,damaged_q3,routed_tri_structural_60,5600,0.91,0.697,0.9497,0.9921,0.0711,0.0514,0.2191,0.0527,0.6452,none
27b,degraded_instruct,damaged_q3,routed_tri_structural_65,5600,0.9107,0.6877,0.9489,0.992,0.0721,0.0461,0.2345,0.0493,0.6356,none
27b,degraded_instruct,damaged_q3,stability_first_tri_70,5600,0.9173,0.7016,0.9505,0.9877,0.0638,0.0477,0.2234,0.0536,0.6524,none
27b,degraded_instruct,damaged_q4,cognitive_structural_25_75,5600,0.925,0.7489,0.9561,0.9884,0.0584,0.0232,0.1913,0.0464,0.7091,none
27b,degraded_instruct,damaged_q4,cyber_structural_25_75,5600,0.9332,0.7612,0.9591,0.9895,0.0479,0.035,0.1741,0.0559,0.7232,none
27b,degraded_instruct,damaged_q4,q2_structural_amplifier,5600,0.9062,0.5138,0.9256,0.9898,0.0652,0.2929,0.2382,0.0484,0.4141,none
27b,degraded_instruct,damaged_q4,routed_tri_structural_60,5600,0.928,0.7384,0.9579,0.9911,0.0546,0.0512,0.1832,0.0484,0.6947,none
27b,degraded_instruct,damaged_q4,routed_tri_structural_65,5600,0.9282,0.7395,0.9579,0.99,0.0534,0.0504,0.1802,0.0505,0.6964,none
27b,degraded_instruct,damaged_q4,stability_first_tri_70,5600,0.9287,0.74,0.9581,0.9902,0.0523,0.0457,0.1832,0.0493,0.698,none
27b,degraded_instruct,healthy_q6,cognitive_structural_25_75,5600,0.9477,0.7995,0.9653,0.9888,0.037,0.0223,0.1502,0.0488,0.7695,none
27b,degraded_instruct,healthy_q6,cyber_structural_25_75,5600,0.947,0.7934,0.9639,0.9866,0.0377,0.0341,0.1446,0.0543,0.761,none
27b,degraded_instruct,healthy_q6,q2_structural_amplifier,5600,0.9227,0.5507,0.9342,0.9891,0.0504,0.2964,0.1818,0.0448,0.4595,none
27b,degraded_instruct,healthy_q6,routed_tri_structural_60,5600,0.9513,0.7845,0.9676,0.9914,0.0332,0.0496,0.1434,0.0482,0.7507,none
27b,degraded_instruct,healthy_q6,routed_tri_structural_65,5600,0.9495,0.782,0.967,0.9896,0.0357,0.0532,0.1418,0.0459,0.747,none
27b,degraded_instruct,healthy_q6,stability_first_tri_70,5600,0.9479,0.7923,0.9659,0.9889,0.0352,0.0437,0.1384,0.0527,0.7593,none
27b,degraded_instruct,healthy_q8,cognitive_structural_25_75,5600,0.9637,0.8391,0.9723,0.9882,0.0239,0.0238,0.1159,0.0457,0.8156,none
27b,degraded_instruct,healthy_q8,cyber_structural_25_75,5600,0.958,0.8266,0.9717,0.9886,0.0261,0.0407,0.1096,0.0473,0.7995,none
27b,degraded_instruct,healthy_q8,q2_structural_amplifier,5600,0.9254,0.5593,0.9368,0.9902,0.047,0.2896,0.1718,0.0462,0.4712,none
27b,degraded_instruct,healthy_q8,routed_tri_structural_60,5600,0.9545,0.7984,0.9699,0.9918,0.03,0.0529,0.1221,0.0489,0.7666,none
27b,degraded_instruct,healthy_q8,routed_tri_structural_65,5600,0.96,0.8061,0.9703,0.9895,0.0243,0.0482,0.1261,0.0512,0.7765,none
27b,degraded_instruct,healthy_q8,stability_first_tri_70,5600,0.9521,0.8002,0.9691,0.99,0.0318,0.053,0.123,0.0482,0.7678,none
27b,instruct,collapsed_q2_edge,cognitive_structural_25_75,5600,0.2495,0.1964,0.5233,0.7325,0.2414,0.0184,0.418,1.6514,0.0043,cascade
27b,instruct,collapsed_q2_edge,cyber_structural_25_75,5600,0.2757,0.205,0.5419,0.7304,0.2348,0.028,0.395,1.5477,0.02,cascade
27b,instruct,collapsed_q2_edge,q2_structural_amplifier,5600,0.6784,0.3495,0.8092,0.8398,0.1509,0.2786,0.4361,0.2823,0.1995,none
27b,instruct,collapsed_q2_edge,routed_tri_structural_60,5600,0.3588,0.2666,0.6071,0.777,0.2068,0.0479,0.4157,1.308,0.0963,none
27b,instruct,collapsed_q2_edge,routed_tri_structural_65,5600,0.378,0.2748,0.6326,0.7913,0.2055,0.0407,0.4121,1.1814,0.113,none
27b,instruct,collapsed_q2_edge,stability_first_tri_70,5600,0.437,0.3309,0.6689,0.8016,0.1895,0.0329,0.3839,1.0386,0.1848,none
27b,instruct,damaged_q2,cognitive_structural_25_75,5600,0.5623,0.4184,0.7493,0.867,0.1459,0.0186,0.365,0.7789,0.3028,none
27b,instruct,damaged_q2,cyber_structural_25_75,5600,0.5805,0.433,0.7581,0.8416,0.1496,0.0266,0.3514,0.6929,0.3201,none
27b,instruct,damaged_q2,q2_structural_amplifier,5600,0.8186,0.4246,0.8855,0.9313,0.1138,0.2802,0.3686,0.0698,0.3015,none
27b,instruct,damaged_q2,routed_tri_structural_60,5600,0.6834,0.4786,0.8188,0.8932,0.1423,0.0446,0.3514,0.457,0.376,none
27b,instruct,damaged_q2,routed_tri_structural_65,5600,0.7345,0.5182,0.8469,0.9039,0.1254,0.038,0.3457,0.3516,0.4278,none
27b,instruct,damaged_q2,stability_first_tri_70,5600,0.7782,0.5509,0.8697,0.9095,0.1152,0.038,0.3354,0.2659,0.4686,none
27b,instruct,damaged_q3,cognitive_structural_25_75,5600,0.9057,0.6961,0.9466,0.9884,0.0705,0.0191,0.2459,0.0557,0.6486,none
27b,instruct,damaged_q3,cyber_structural_25_75,5600,0.8905,0.6854,0.9401,0.9752,0.0791,0.0264,0.2379,0.063,0.6342,none
27b,instruct,damaged_q3,q2_structural_amplifier,5600,0.8788,0.4982,0.9174,0.9877,0.0857,0.2746,0.262,0.0555,0.3938,none
27b,instruct,damaged_q3,routed_tri_structural_60,5600,0.9012,0.6829,0.9452,0.9886,0.0821,0.0404,0.24,0.0473,0.6286,none
27b,instruct,damaged_q3,routed_tri_structural_65,5600,0.9079,0.6954,0.9484,0.9886,0.0729,0.038,0.2296,0.05,0.645,none
27b,instruct,damaged_q3,stability_first_tri_70,5600,0.9114,0.6963,0.9493,0.9898,0.0702,0.0346,0.233,0.05,0.6471,none
