model,substrate,quant,stack,pressure_band,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
27b,base,damaged_q2,routed_tri_structural_60,medium,1400,0.8336,0.6143,0.9115,0.9643,0.0943,0.0371,0.2736,0.1536,0.549,none
27b,base,damaged_q2,routed_tri_structural_65,extreme,1400,0.7686,0.4307,0.8633,0.9221,0.1464,0.0764,0.4879,0.2307,0.3209,none
27b,base,damaged_q2,routed_tri_structural_65,high,1400,0.78,0.5529,0.8793,0.955,0.1321,0.0393,0.345,0.2307,0.4662,none
27b,base,damaged_q2,routed_tri_structural_65,low,1400,0.9129,0.7214,0.9587,0.9929,0.0536,0.0264,0.1886,0.0357,0.6832,none
27b,base,damaged_q2,routed_tri_structural_65,medium,1400,0.8571,0.6407,0.9224,0.9643,0.095,0.0293,0.2643,0.105,0.58,none
27b,base,damaged_q2,stability_first_tri_70,extreme,1400,0.785,0.4493,0.8732,0.9307,0.15,0.0664,0.5007,0.1736,0.3423,none
27b,base,damaged_q2,stability_first_tri_70,high,1400,0.8179,0.5521,0.8972,0.9579,0.1229,0.04,0.355,0.155,0.4711,none
27b,base,damaged_q2,stability_first_tri_70,low,1400,0.8979,0.7214,0.9544,0.9914,0.0579,0.0243,0.19,0.0443,0.6818,none
27b,base,damaged_q2,stability_first_tri_70,medium,1400,0.8743,0.6514,0.9343,0.9693,0.0929,0.0371,0.24,0.0643,0.5937,none
27b,base,damaged_q3,cognitive_structural_25_75,extreme,1400,0.8857,0.5871,0.9295,0.9907,0.1043,0.0407,0.3571,0.0607,0.5161,none
27b,base,damaged_q3,cognitive_structural_25_75,high,1400,0.8943,0.6636,0.9396,0.9886,0.0907,0.0229,0.2729,0.0557,0.6072,none
27b,base,damaged_q3,cognitive_structural_25_75,low,1400,0.92,0.7814,0.9633,0.9871,0.0429,0.0121,0.14,0.0386,0.753,none
27b,base,damaged_q3,cognitive_structural_25_75,medium,1400,0.9186,0.7629,0.9538,0.9879,0.0614,0.0164,0.1714,0.06,0.7244,none
27b,base,damaged_q3,cyber_structural_25_75,extreme,1400,0.8579,0.5564,0.9179,0.9764,0.1229,0.0607,0.3421,0.0821,0.476,none
27b,base,damaged_q3,cyber_structural_25_75,high,1400,0.9,0.6886,0.9433,0.9864,0.0814,0.0257,0.2464,0.0586,0.6364,none
27b,base,damaged_q3,cyber_structural_25_75,low,1400,0.9186,0.7836,0.9629,0.99,0.0529,0.0164,0.1379,0.0314,0.7518,none
27b,base,damaged_q3,cyber_structural_25_75,medium,1400,0.9279,0.7743,0.9581,0.9914,0.0586,0.0229,0.1636,0.05,0.7366,none
27b,base,damaged_q3,q2_structural_amplifier,extreme,1400,0.8593,0.3679,0.8878,0.9893,0.1093,0.3771,0.3886,0.0643,0.2253,none
27b,base,damaged_q3,q2_structural_amplifier,high,1400,0.8857,0.4707,0.9144,0.9871,0.0914,0.2986,0.2936,0.0529,0.3574,none
27b,base,damaged_q3,q2_structural_amplifier,low,1400,0.9164,0.6121,0.9453,0.9936,0.0514,0.1957,0.1793,0.0329,0.5416,none
27b,base,damaged_q3,q2_structural_amplifier,medium,1400,0.8929,0.5407,0.9289,0.9929,0.0843,0.2586,0.2021,0.0414,0.4455,none
27b,base,damaged_q3,routed_tri_structural_60,extreme,1400,0.9036,0.6043,0.9378,0.9871,0.0857,0.07,0.3207,0.0514,0.5363,none
27b,base,damaged_q3,routed_tri_structural_60,high,1400,0.9157,0.6821,0.9489,0.9921,0.0721,0.0493,0.2507,0.0493,0.6281,none
27b,base,damaged_q3,routed_tri_structural_60,low,1400,0.9143,0.77,0.9622,0.9879,0.0443,0.0243,0.1421,0.0414,0.7384,none
27b,base,damaged_q3,routed_tri_structural_60,medium,1400,0.9143,0.7343,0.9526,0.9914,0.07,0.0329,0.1843,0.0521,0.6894,none
