model,substrate,quant,stack,trials,pass_rate,clean_pass_rate,mean_score,classified_rate,cascade_rate,echo_rate,avg_distractors,avg_missing_required,stability_score,top_failure
2b_reference,instruct,healthy_q8,cognitive_structural_25_75,5600,0.9391,0.7889,0.9628,0.9895,0.0439,0.018,0.1602,0.0489,0.7569,none
35b_a3b_moe,base,collapsed_q2_edge,stability_first_tri_70,5600,0.5673,0.4189,0.7526,0.865,0.1532,0.0395,0.3532,0.7407,0.2998,none
35b_a3b_moe,base,damaged_q2,stability_first_tri_70,5600,0.8525,0.6107,0.9147,0.9611,0.0941,0.0395,0.3077,0.1332,0.5433,none
35b_a3b_moe,base,damaged_q3,cognitive_structural_25_75,5600,0.9186,0.7254,0.9533,0.9911,0.0611,0.0216,0.2134,0.0514,0.6831,none
35b_a3b_moe,base,damaged_q4,cyber_structural_25_75,5600,0.9409,0.7811,0.9644,0.9888,0.0418,0.0325,0.1541,0.0436,0.7475,none
35b_a3b_moe,base,healthy_q6,cognitive_structural_25_75,5600,0.947,0.8127,0.966,0.9898,0.0371,0.0236,0.1327,0.0525,0.7836,none
35b_a3b_moe,base,healthy_q8,cognitive_structural_25_75,5600,0.9623,0.8461,0.9724,0.9905,0.0239,0.0216,0.1084,0.0511,0.8233,none
35b_a3b_moe,degraded_instruct,collapsed_q2_edge,stability_first_tri_70,5600,0.5436,0.403,0.7372,0.8466,0.148,0.0409,0.3579,0.8061,0.2815,none
35b_a3b_moe,degraded_instruct,damaged_q2,stability_first_tri_70,5600,0.8375,0.6023,0.9051,0.9429,0.0954,0.0409,0.3007,0.1627,0.5333,none
35b_a3b_moe,degraded_instruct,damaged_q3,cyber_structural_25_75,5600,0.9205,0.7229,0.952,0.9841,0.0612,0.0373,0.2043,0.0529,0.678,none
35b_a3b_moe,degraded_instruct,damaged_q4,routed_tri_structural_65,5600,0.9423,0.7621,0.9625,0.9886,0.0434,0.0432,0.1704,0.0455,0.7246,none
35b_a3b_moe,degraded_instruct,healthy_q6,cognitive_structural_25_75,5600,0.9502,0.8104,0.968,0.9927,0.0352,0.0234,0.1343,0.0466,0.7821,none
35b_a3b_moe,degraded_instruct,healthy_q8,cognitive_structural_25_75,5600,0.962,0.8375,0.9729,0.9916,0.0214,0.0271,0.1125,0.0512,0.8141,none
35b_a3b_moe,instruct,collapsed_q2_edge,q2_structural_amplifier,5600,0.6861,0.3652,0.8093,0.8304,0.1327,0.2686,0.4127,0.3095,0.2232,none
35b_a3b_moe,instruct,damaged_q2,stability_first_tri_70,5600,0.7629,0.5527,0.8603,0.9043,0.1087,0.0354,0.3175,0.3187,0.4716,none
35b_a3b_moe,instruct,damaged_q3,stability_first_tri_70,5600,0.9186,0.708,0.952,0.9927,0.0639,0.0312,0.2232,0.0536,0.6621,none
35b_a3b_moe,instruct,damaged_q4,stability_first_tri_70,5600,0.9377,0.7752,0.961,0.99,0.0473,0.0302,0.1636,0.0512,0.7393,none
35b_a3b_moe,instruct,healthy_q6,cognitive_structural_25_75,5600,0.95,0.8177,0.9679,0.9907,0.0323,0.02,0.1316,0.0514,0.7909,none
35b_a3b_moe,instruct,healthy_q8,cyber_structural_25_75,5600,0.9564,0.8329,0.9701,0.9891,0.0293,0.02,0.1179,0.0498,0.8082,none
4b,base,collapsed_q2_edge,q2_structural_amplifier,5600,0.5611,0.283,0.743,0.8168,0.2009,0.2798,0.4946,0.4946,0.1025,none
4b,base,damaged_q2,stability_first_tri_70,5600,0.5873,0.397,0.7624,0.8598,0.1809,0.0439,0.4291,0.632,0.268,none
4b,base,damaged_q3,stability_first_tri_70,5600,0.8904,0.6495,0.9393,0.9868,0.0916,0.0402,0.2739,0.0493,0.5896,none
4b,base,damaged_q4,cognitive_structural_25_75,5600,0.9082,0.7143,0.9487,0.9902,0.0732,0.0196,0.2254,0.0521,0.6678,none
4b,base,healthy_q6,cyber_structural_25_75,5600,0.9316,0.7795,0.9611,0.99,0.0539,0.0318,0.1491,0.0459,0.7427,none
4b,base,healthy_q8,cyber_structural_25_75,5600,0.953,0.8068,0.9683,0.9898,0.0348,0.0305,0.1373,0.0429,0.7771,none
4b,degraded_instruct,collapsed_q2_edge,q2_structural_amplifier,5600,0.527,0.2689,0.7188,0.787,0.2066,0.2923,0.5,0.5757,0.0797,none
4b,degraded_instruct,damaged_q2,stability_first_tri_70,5600,0.5525,0.3814,0.7391,0.8343,0.188,0.0477,0.4232,0.7159,0.2458,none
4b,degraded_instruct,damaged_q3,stability_first_tri_70,5600,0.8771,0.632,0.9352,0.98,0.0957,0.0477,0.278,0.053,0.5688,none
4b,degraded_instruct,damaged_q4,cognitive_structural_25_75,5600,0.913,0.7032,0.9486,0.9884,0.0711,0.0262,0.2416,0.0484,0.6549,none
4b,degraded_instruct,healthy_q6,cyber_structural_25_75,5600,0.9307,0.7625,0.9592,0.993,0.052,0.0311,0.17,0.0534,0.7244,none
4b,degraded_instruct,healthy_q8,cyber_structural_25_75,5600,0.9545,0.8037,0.9685,0.9882,0.0327,0.0402,0.1329,0.0455,0.773,none
4b,instruct,collapsed_q2_edge,q2_structural_amplifier,5600,0.4163,0.2193,0.6385,0.7227,0.2332,0.2691,0.5323,0.8923,0.0083,cascade
4b,instruct,damaged_q2,q2_structural_amplifier,5600,0.6854,0.343,0.8119,0.8371,0.168,0.2782,0.4614,0.2305,0.1885,none
4b,instruct,damaged_q3,stability_first_tri_70,5600,0.845,0.6139,0.9173,0.948,0.1062,0.0361,0.2964,0.0871,0.5468,none
4b,instruct,damaged_q4,stability_first_tri_70,5600,0.9079,0.6916,0.9486,0.9929,0.077,0.0316,0.2427,0.0436,0.6406,none
4b,instruct,healthy_q6,stability_first_tri_70,5600,0.9346,0.7661,0.9616,0.9907,0.0459,0.0345,0.1684,0.0489,0.7295,none
4b,instruct,healthy_q8,cognitive_structural_25_75,5600,0.948,0.8002,0.9655,0.9875,0.0361,0.0184,0.1527,0.0466,0.7711,none
9b,base,collapsed_q2_edge,q2_structural_amplifier,5600,0.6727,0.3395,0.806,0.8641,0.1638,0.2823,0.4436,0.302,0.1833,none
9b,base,damaged_q2,stability_first_tri_70,5600,0.7241,0.5005,0.8416,0.9116,0.138,0.0389,0.3814,0.3595,0.4029,none
