model,substrate,quant,stack,pass_lift,clean_pass_lift,score_lift,cascade_delta,echo_delta,distractor_delta
27b,degraded_instruct,damaged_q3,cyber_structural_25_75,0.9032,0.6954,0.9462,0.0759,0.0334,0.2295
27b,degraded_instruct,damaged_q3,q2_structural_amplifier,0.8973,0.4936,0.9204,0.0721,0.2871,0.2846
27b,degraded_instruct,damaged_q3,routed_tri_structural_60,0.91,0.697,0.9497,0.0711,0.0514,0.2191
27b,degraded_instruct,damaged_q3,routed_tri_structural_65,0.9107,0.6877,0.9489,0.0721,0.0461,0.2345
27b,degraded_instruct,damaged_q3,stability_first_tri_70,0.9173,0.7016,0.9505,0.0638,0.0477,0.2234
27b,degraded_instruct,damaged_q4,cognitive_structural_25_75,0.925,0.7489,0.9561,0.0584,0.0232,0.1913
27b,degraded_instruct,damaged_q4,cyber_structural_25_75,0.9332,0.7612,0.9591,0.0479,0.035,0.1741
27b,degraded_instruct,damaged_q4,q2_structural_amplifier,0.9062,0.5138,0.9256,0.0652,0.2929,0.2382
27b,degraded_instruct,damaged_q4,routed_tri_structural_60,0.928,0.7384,0.9579,0.0546,0.0512,0.1832
27b,degraded_instruct,damaged_q4,routed_tri_structural_65,0.9282,0.7395,0.9579,0.0534,0.0504,0.1802
27b,degraded_instruct,damaged_q4,stability_first_tri_70,0.9287,0.74,0.9581,0.0523,0.0457,0.1832
27b,degraded_instruct,healthy_q6,cognitive_structural_25_75,0.9477,0.7995,0.9653,0.037,0.0223,0.1502
27b,degraded_instruct,healthy_q6,cyber_structural_25_75,0.947,0.7934,0.9639,0.0377,0.0341,0.1446
27b,degraded_instruct,healthy_q6,q2_structural_amplifier,0.9227,0.5507,0.9342,0.0504,0.2964,0.1818
27b,degraded_instruct,healthy_q6,routed_tri_structural_60,0.9513,0.7845,0.9676,0.0332,0.0496,0.1434
27b,degraded_instruct,healthy_q6,routed_tri_structural_65,0.9495,0.782,0.967,0.0357,0.0532,0.1418
27b,degraded_instruct,healthy_q6,stability_first_tri_70,0.9479,0.7923,0.9659,0.0352,0.0437,0.1384
