model,substrate,quant,stack,pass_lift,clean_pass_lift,score_lift,cascade_delta,echo_delta,distractor_delta
35b_a3b_moe,base,damaged_q4,stability_first_tri_70,0.9439,0.7641,0.9622,0.0398,0.0366,0.172
35b_a3b_moe,base,healthy_q6,cognitive_structural_25_75,0.947,0.8127,0.966,0.0371,0.0236,0.1327
35b_a3b_moe,base,healthy_q6,cyber_structural_25_75,0.9523,0.8114,0.9691,0.0323,0.035,0.1257
35b_a3b_moe,base,healthy_q6,q2_structural_amplifier,0.9204,0.5579,0.9342,0.0498,0.2789,0.1884
35b_a3b_moe,base,healthy_q6,routed_tri_structural_60,0.9555,0.8014,0.9688,0.0291,0.0425,0.1321
35b_a3b_moe,base,healthy_q6,routed_tri_structural_65,0.9521,0.7966,0.9685,0.0314,0.0432,0.1346
35b_a3b_moe,base,healthy_q6,stability_first_tri_70,0.9543,0.812,0.9686,0.0293,0.0371,0.1234
35b_a3b_moe,base,healthy_q8,cognitive_structural_25_75,0.9623,0.8461,0.9724,0.0239,0.0216,0.1084
35b_a3b_moe,base,healthy_q8,cyber_structural_25_75,0.9627,0.8298,0.972,0.0225,0.0307,0.118
35b_a3b_moe,base,healthy_q8,q2_structural_amplifier,0.9295,0.5732,0.9386,0.0441,0.2925,0.16
35b_a3b_moe,base,healthy_q8,routed_tri_structural_60,0.9645,0.8175,0.9728,0.0216,0.0504,0.1146
35b_a3b_moe,base,healthy_q8,routed_tri_structural_65,0.9614,0.8189,0.9721,0.0209,0.0466,0.1152
35b_a3b_moe,base,healthy_q8,stability_first_tri_70,0.9605,0.8313,0.9724,0.0232,0.0413,0.1057
35b_a3b_moe,degraded_instruct,collapsed_q2_edge,cognitive_structural_25_75,0.2961,0.2305,0.5724,0.202,0.0241,0.3736
35b_a3b_moe,degraded_instruct,collapsed_q2_edge,cyber_structural_25_75,0.3404,0.2504,0.5977,0.1859,0.0418,0.3638
35b_a3b_moe,degraded_instruct,collapsed_q2_edge,q2_structural_amplifier,0.7695,0.3979,0.859,0.1175,0.2871,0.3916
35b_a3b_moe,degraded_instruct,collapsed_q2_edge,routed_tri_structural_60,0.4498,0.3273,0.6794,0.173,0.0516,0.3655
35b_a3b_moe,degraded_instruct,collapsed_q2_edge,routed_tri_structural_65,0.5057,0.3668,0.7108,0.1561,0.0507,0.3695
35b_a3b_moe,degraded_instruct,collapsed_q2_edge,stability_first_tri_70,0.5436,0.403,0.7372,0.148,0.0409,0.3579
35b_a3b_moe,degraded_instruct,damaged_q2,cognitive_structural_25_75,0.643,0.4893,0.7982,0.1164,0.0211,0.3221
35b_a3b_moe,degraded_instruct,damaged_q2,cyber_structural_25_75,0.65,0.4889,0.7981,0.1173,0.0352,0.2932
35b_a3b_moe,degraded_instruct,damaged_q2,q2_structural_amplifier,0.868,0.4557,0.9066,0.0932,0.2823,0.3311
35b_a3b_moe,degraded_instruct,damaged_q2,routed_tri_structural_60,0.7675,0.5505,0.8677,0.1073,0.048,0.3166
35b_a3b_moe,degraded_instruct,damaged_q2,routed_tri_structural_65,0.8155,0.5861,0.8904,0.0934,0.0471,0.3111
35b_a3b_moe,degraded_instruct,damaged_q2,stability_first_tri_70,0.8375,0.6023,0.9051,0.0954,0.0409,0.3007
35b_a3b_moe,degraded_instruct,damaged_q3,cognitive_structural_25_75,0.9177,0.7166,0.9516,0.0627,0.0261,0.2259
35b_a3b_moe,degraded_instruct,damaged_q3,cyber_structural_25_75,0.9205,0.7229,0.952,0.0612,0.0373,0.2043
35b_a3b_moe,degraded_instruct,damaged_q3,q2_structural_amplifier,0.8966,0.4918,0.9217,0.0754,0.298,0.2498
35b_a3b_moe,degraded_instruct,damaged_q3,routed_tri_structural_60,0.92,0.7089,0.9526,0.0629,0.0482,0.2123
35b_a3b_moe,degraded_instruct,damaged_q3,routed_tri_structural_65,0.9213,0.7093,0.9532,0.0646,0.0484,0.2161
35b_a3b_moe,degraded_instruct,damaged_q3,stability_first_tri_70,0.9213,0.7134,0.9529,0.0579,0.0434,0.2148
35b_a3b_moe,degraded_instruct,damaged_q4,cognitive_structural_25_75,0.9343,0.7579,0.9599,0.0473,0.0252,0.1839
35b_a3b_moe,degraded_instruct,damaged_q4,cyber_structural_25_75,0.9371,0.7586,0.9617,0.047,0.0384,0.1711
35b_a3b_moe,degraded_instruct,damaged_q4,q2_structural_amplifier,0.9045,0.518,0.9274,0.0612,0.2891,0.225
35b_a3b_moe,degraded_instruct,damaged_q4,routed_tri_structural_60,0.9307,0.7402,0.9584,0.0516,0.0512,0.1777
35b_a3b_moe,degraded_instruct,damaged_q4,routed_tri_structural_65,0.9423,0.7621,0.9625,0.0434,0.0432,0.1704
35b_a3b_moe,degraded_instruct,damaged_q4,stability_first_tri_70,0.9339,0.7462,0.9601,0.0498,0.0488,0.1739
35b_a3b_moe,degraded_instruct,healthy_q6,cognitive_structural_25_75,0.9502,0.8104,0.968,0.0352,0.0234,0.1343
35b_a3b_moe,degraded_instruct,healthy_q6,cyber_structural_25_75,0.95,0.8087,0.968,0.0354,0.0343,0.1313
35b_a3b_moe,degraded_instruct,healthy_q6,q2_structural_amplifier,0.9182,0.545,0.9324,0.0507,0.2934,0.1882
35b_a3b_moe,degraded_instruct,healthy_q6,routed_tri_structural_60,0.9536,0.7859,0.9684,0.0323,0.0534,0.1373
35b_a3b_moe,degraded_instruct,healthy_q6,routed_tri_structural_65,0.9525,0.7846,0.9679,0.0314,0.0516,0.1409
35b_a3b_moe,degraded_instruct,healthy_q6,stability_first_tri_70,0.9529,0.7971,0.9684,0.0295,0.0471,0.1334
35b_a3b_moe,degraded_instruct,healthy_q8,cognitive_structural_25_75,0.962,0.8375,0.9729,0.0214,0.0271,0.1125
35b_a3b_moe,degraded_instruct,healthy_q8,cyber_structural_25_75,0.9637,0.8305,0.9722,0.02,0.0348,0.115
35b_a3b_moe,degraded_instruct,healthy_q8,q2_structural_amplifier,0.9223,0.5643,0.9367,0.048,0.2814,0.1746
35b_a3b_moe,degraded_instruct,healthy_q8,routed_tri_structural_60,0.9611,0.8129,0.9717,0.0246,0.0491,0.122
35b_a3b_moe,degraded_instruct,healthy_q8,routed_tri_structural_65,0.9593,0.8116,0.9718,0.0259,0.0507,0.1157
35b_a3b_moe,degraded_instruct,healthy_q8,stability_first_tri_70,0.9643,0.8309,0.9732,0.0234,0.0436,0.1077
35b_a3b_moe,instruct,collapsed_q2_edge,cognitive_structural_25_75,0.2418,0.1891,0.5162,0.2114,0.017,0.3809
35b_a3b_moe,instruct,collapsed_q2_edge,cyber_structural_25_75,0.2743,0.2098,0.5409,0.2077,0.025,0.368
35b_a3b_moe,instruct,collapsed_q2_edge,q2_structural_amplifier,0.6861,0.3652,0.8093,0.1327,0.2686,0.4127
35b_a3b_moe,instruct,collapsed_q2_edge,routed_tri_structural_60,0.3409,0.2487,0.5972,0.1895,0.0436,0.3807
35b_a3b_moe,instruct,collapsed_q2_edge,routed_tri_structural_65,0.3839,0.2843,0.6302,0.18,0.0418,0.3738
35b_a3b_moe,instruct,collapsed_q2_edge,stability_first_tri_70,0.4248,0.3161,0.6651,0.1741,0.0343,0.3782
35b_a3b_moe,instruct,damaged_q2,cognitive_structural_25_75,0.5475,0.4163,0.7413,0.1309,0.0225,0.3336
35b_a3b_moe,instruct,damaged_q2,cyber_structural_25_75,0.5571,0.4186,0.7493,0.1389,0.0264,0.3107
35b_a3b_moe,instruct,damaged_q2,q2_structural_amplifier,0.8339,0.4446,0.8908,0.0998,0.2691,0.3588
35b_a3b_moe,instruct,damaged_q2,routed_tri_structural_60,0.6727,0.4964,0.813,0.1248,0.0414,0.3293
35b_a3b_moe,instruct,damaged_q2,routed_tri_structural_65,0.7198,0.5304,0.8386,0.1118,0.0373,0.3146
35b_a3b_moe,instruct,damaged_q2,stability_first_tri_70,0.7629,0.5527,0.8603,0.1087,0.0354,0.3175
35b_a3b_moe,instruct,damaged_q3,cognitive_structural_25_75,0.9066,0.7071,0.9477,0.0732,0.0195,0.2305
35b_a3b_moe,instruct,damaged_q3,cyber_structural_25_75,0.8902,0.69,0.9385,0.0764,0.025,0.2325
35b_a3b_moe,instruct,damaged_q3,q2_structural_amplifier,0.8959,0.4995,0.9225,0.0741,0.2816,0.2616
35b_a3b_moe,instruct,damaged_q3,routed_tri_structural_60,0.9084,0.6982,0.9471,0.0707,0.0414,0.2255
35b_a3b_moe,instruct,damaged_q3,routed_tri_structural_65,0.9137,0.7037,0.9505,0.0682,0.0362,0.2229
35b_a3b_moe,instruct,damaged_q3,stability_first_tri_70,0.9186,0.708,0.952,0.0639,0.0312,0.2232
35b_a3b_moe,instruct,damaged_q4,cognitive_structural_25_75,0.9316,0.7689,0.96,0.0512,0.0173,0.1773
35b_a3b_moe,instruct,damaged_q4,cyber_structural_25_75,0.9313,0.7609,0.9588,0.0496,0.0232,0.178
35b_a3b_moe,instruct,damaged_q4,q2_structural_amplifier,0.9012,0.5227,0.9253,0.0677,0.2877,0.2273
35b_a3b_moe,instruct,damaged_q4,routed_tri_structural_60,0.9361,0.7479,0.9594,0.0475,0.0405,0.185
35b_a3b_moe,instruct,damaged_q4,routed_tri_structural_65,0.937,0.7659,0.9609,0.0432,0.037,0.1723
35b_a3b_moe,instruct,damaged_q4,stability_first_tri_70,0.9377,0.7752,0.961,0.0473,0.0302,0.1636
35b_a3b_moe,instruct,healthy_q6,cognitive_structural_25_75,0.95,0.8177,0.9679,0.0323,0.02,0.1316
35b_a3b_moe,instruct,healthy_q6,cyber_structural_25_75,0.9473,0.81,0.9667,0.0387,0.0252,0.1302
35b_a3b_moe,instruct,healthy_q6,q2_structural_amplifier,0.9186,0.5571,0.934,0.0534,0.2786,0.182
35b_a3b_moe,instruct,healthy_q6,routed_tri_structural_60,0.9546,0.7979,0.9679,0.0295,0.0402,0.1425
35b_a3b_moe,instruct,healthy_q6,routed_tri_structural_65,0.9489,0.8013,0.967,0.035,0.0387,0.1332
35b_a3b_moe,instruct,healthy_q6,stability_first_tri_70,0.9523,0.8164,0.9674,0.0316,0.0298,0.1275
35b_a3b_moe,instruct,healthy_q8,cognitive_structural_25_75,0.9618,0.8286,0.971,0.0232,0.0187,0.1307
35b_a3b_moe,instruct,healthy_q8,cyber_structural_25_75,0.9564,0.8329,0.9701,0.0293,0.02,0.1179
35b_a3b_moe,instruct,healthy_q8,q2_structural_amplifier,0.9236,0.5645,0.9359,0.0454,0.282,0.1789
35b_a3b_moe,instruct,healthy_q8,routed_tri_structural_60,0.9605,0.8146,0.9708,0.0252,0.0425,0.127
35b_a3b_moe,instruct,healthy_q8,routed_tri_structural_65,0.955,0.8116,0.9702,0.0261,0.0407,0.123
35b_a3b_moe,instruct,healthy_q8,stability_first_tri_70,0.9587,0.8189,0.9708,0.0262,0.0359,0.1248
4b,base,collapsed_q2_edge,cognitive_structural_25_75,0.1082,0.0791,0.3486,0.4095,0.0236,0.5463
4b,base,collapsed_q2_edge,cyber_structural_25_75,0.1229,0.0884,0.3605,0.4114,0.0325,0.5052
4b,base,collapsed_q2_edge,q2_structural_amplifier,0.5611,0.283,0.743,0.2009,0.2798,0.4946
4b,base,collapsed_q2_edge,routed_tri_structural_60,0.1988,0.1405,0.4687,0.3346,0.0509,0.5062
4b,base,collapsed_q2_edge,routed_tri_structural_65,0.2207,0.1564,0.4883,0.3302,0.0402,0.5061
4b,base,collapsed_q2_edge,stability_first_tri_70,0.247,0.1729,0.5118,0.3143,0.0437,0.5043
4b,base,damaged_q2,cognitive_structural_25_75,0.3312,0.243,0.5893,0.2414,0.0239,0.46
4b,base,damaged_q2,cyber_structural_25_75,0.3532,0.257,0.6004,0.245,0.0338,0.4175
4b,base,damaged_q2,q2_structural_amplifier,0.7779,0.3837,0.8641,0.1384,0.2777,0.4343
4b,base,damaged_q2,routed_tri_structural_60,0.5121,0.3432,0.713,0.2016,0.0461,0.4511
4b,base,damaged_q2,routed_tri_structural_65,0.5587,0.3812,0.7411,0.19,0.0479,0.4146
4b,base,damaged_q2,stability_first_tri_70,0.5873,0.397,0.7624,0.1809,0.0439,0.4291
4b,base,damaged_q3,cognitive_structural_25_75,0.8464,0.6216,0.9131,0.1045,0.0234,0.2975
4b,base,damaged_q3,cyber_structural_25_75,0.8082,0.5991,0.8923,0.1145,0.0312,0.2877
4b,base,damaged_q3,q2_structural_amplifier,0.8707,0.4746,0.912,0.0979,0.2759,0.2975
4b,base,damaged_q3,routed_tri_structural_60,0.8814,0.6288,0.9362,0.0986,0.0488,0.2834
4b,base,damaged_q3,routed_tri_structural_65,0.883,0.6425,0.9361,0.0936,0.0427,0.2737
4b,base,damaged_q3,stability_first_tri_70,0.8904,0.6495,0.9393,0.0916,0.0402,0.2739
4b,base,damaged_q4,cognitive_structural_25_75,0.9082,0.7143,0.9487,0.0732,0.0196,0.2254
4b,base,damaged_q4,cyber_structural_25_75,0.8946,0.7011,0.944,0.0813,0.0277,0.2196
4b,base,damaged_q4,q2_structural_amplifier,0.8962,0.5132,0.9229,0.0755,0.2723,0.2584
4b,base,damaged_q4,routed_tri_structural_60,0.9023,0.6846,0.9462,0.0809,0.0466,0.2338
4b,base,damaged_q4,routed_tri_structural_65,0.9055,0.6975,0.9477,0.075,0.0461,0.2209
4b,base,damaged_q4,stability_first_tri_70,0.9166,0.7018,0.9512,0.0657,0.0425,0.2246
4b,base,healthy_q6,cognitive_structural_25_75,0.9348,0.7759,0.9605,0.0502,0.0207,0.1686
4b,base,healthy_q6,cyber_structural_25_75,0.9316,0.7795,0.9611,0.0539,0.0318,0.1491
4b,base,healthy_q6,q2_structural_amplifier,0.913,0.5327,0.9298,0.0596,0.2857,0.212
4b,base,healthy_q6,routed_tri_structural_60,0.9291,0.7566,0.9599,0.0527,0.0452,0.1609
4b,base,healthy_q6,routed_tri_structural_65,0.9341,0.7664,0.9607,0.0512,0.0398,0.1573
4b,base,healthy_q6,stability_first_tri_70,0.9355,0.7675,0.9605,0.0489,0.0377,0.1604
4b,base,healthy_q8,cognitive_structural_25_75,0.9457,0.8029,0.9657,0.0346,0.0207,0.1471
4b,base,healthy_q8,cyber_structural_25_75,0.953,0.8068,0.9683,0.0348,0.0305,0.1373
4b,base,healthy_q8,q2_structural_amplifier,0.9121,0.5504,0.9323,0.0563,0.2811,0.1936
4b,base,healthy_q8,routed_tri_structural_60,0.9534,0.7963,0.9685,0.0293,0.0459,0.1332
4b,base,healthy_q8,routed_tri_structural_65,0.95,0.7914,0.9666,0.0325,0.0416,0.1418
4b,base,healthy_q8,stability_first_tri_70,0.9493,0.7973,0.9664,0.0338,0.0387,0.1375
4b,degraded_instruct,collapsed_q2_edge,cognitive_structural_25_75,0.1027,0.0789,0.3344,0.4071,0.0266,0.5439
4b,degraded_instruct,collapsed_q2_edge,cyber_structural_25_75,0.1259,0.0934,0.361,0.4048,0.0327,0.495
4b,degraded_instruct,collapsed_q2_edge,q2_structural_amplifier,0.527,0.2689,0.7188,0.2066,0.2923,0.5
4b,degraded_instruct,collapsed_q2_edge,routed_tri_structural_60,0.1675,0.1152,0.4333,0.3477,0.0543,0.525
4b,degraded_instruct,collapsed_q2_edge,routed_tri_structural_65,0.198,0.14,0.4608,0.337,0.0537,0.5232
4b,degraded_instruct,collapsed_q2_edge,stability_first_tri_70,0.23,0.1625,0.4925,0.3182,0.0495,0.5127
4b,degraded_instruct,damaged_q2,cognitive_structural_25_75,0.3202,0.2318,0.5729,0.2555,0.0238,0.4636
4b,degraded_instruct,damaged_q2,cyber_structural_25_75,0.3509,0.2548,0.5943,0.2495,0.0343,0.4211
4b,degraded_instruct,damaged_q2,q2_structural_amplifier,0.7655,0.3696,0.8569,0.137,0.2863,0.428
4b,degraded_instruct,damaged_q2,routed_tri_structural_60,0.4688,0.318,0.6875,0.2007,0.0554,0.4377
4b,degraded_instruct,damaged_q2,routed_tri_structural_65,0.5036,0.3432,0.7108,0.2032,0.0488,0.4325
4b,degraded_instruct,damaged_q2,stability_first_tri_70,0.5525,0.3814,0.7391,0.188,0.0477,0.4232
4b,degraded_instruct,damaged_q3,cognitive_structural_25_75,0.8227,0.5973,0.9003,0.1104,0.025,0.3096
4b,degraded_instruct,damaged_q3,cyber_structural_25_75,0.8071,0.6032,0.8898,0.1143,0.0357,0.2782
4b,degraded_instruct,damaged_q3,q2_structural_amplifier,0.8661,0.4543,0.9083,0.1011,0.2814,0.3284
4b,degraded_instruct,damaged_q3,routed_tri_structural_60,0.8679,0.6114,0.9279,0.0993,0.0561,0.2968
4b,degraded_instruct,damaged_q3,routed_tri_structural_65,0.8729,0.628,0.9305,0.0964,0.0534,0.28
4b,degraded_instruct,damaged_q3,stability_first_tri_70,0.8771,0.632,0.9352,0.0957,0.0477,0.278
4b,degraded_instruct,damaged_q4,cognitive_structural_25_75,0.913,0.7032,0.9486,0.0711,0.0262,0.2416
4b,degraded_instruct,damaged_q4,cyber_structural_25_75,0.8993,0.7002,0.9442,0.0761,0.0413,0.2166
4b,degraded_instruct,damaged_q4,q2_structural_amplifier,0.8848,0.483,0.9185,0.0809,0.2943,0.2671
4b,degraded_instruct,damaged_q4,routed_tri_structural_60,0.9086,0.6784,0.948,0.0732,0.0525,0.2411
4b,degraded_instruct,damaged_q4,routed_tri_structural_65,0.91,0.6846,0.9481,0.0689,0.0462,0.2377
4b,degraded_instruct,damaged_q4,stability_first_tri_70,0.9068,0.6964,0.9492,0.0729,0.0459,0.2211
4b,degraded_instruct,healthy_q6,cognitive_structural_25_75,0.9282,0.7616,0.9581,0.0525,0.0266,0.175
4b,degraded_instruct,healthy_q6,cyber_structural_25_75,0.9307,0.7625,0.9592,0.052,0.0311,0.17
4b,degraded_instruct,healthy_q6,q2_structural_amplifier,0.9105,0.5296,0.9286,0.0598,0.2966,0.2188
4b,degraded_instruct,healthy_q6,routed_tri_structural_60,0.937,0.7473,0.9613,0.0457,0.0507,0.1737
4b,degraded_instruct,healthy_q6,routed_tri_structural_65,0.9366,0.7555,0.9614,0.0466,0.048,0.1677
4b,degraded_instruct,healthy_q6,stability_first_tri_70,0.9325,0.7564,0.9604,0.0495,0.0443,0.1632
4b,degraded_instruct,healthy_q8,cognitive_structural_25_75,0.9532,0.7987,0.9668,0.0341,0.0246,0.1504
4b,degraded_instruct,healthy_q8,cyber_structural_25_75,0.9545,0.8037,0.9685,0.0327,0.0402,0.1329
4b,degraded_instruct,healthy_q8,q2_structural_amplifier,0.9182,0.5589,0.9335,0.0536,0.2721,0.1961
4b,degraded_instruct,healthy_q8,routed_tri_structural_60,0.9471,0.7757,0.9658,0.0338,0.0579,0.1457
4b,degraded_instruct,healthy_q8,routed_tri_structural_65,0.9532,0.7796,0.9668,0.0318,0.0525,0.1493
4b,degraded_instruct,healthy_q8,stability_first_tri_70,0.9516,0.788,0.9671,0.0339,0.0439,0.147
4b,instruct,collapsed_q2_edge,cognitive_structural_25_75,0.0716,0.0527,0.28,0.4391,0.0202,0.5575
4b,instruct,collapsed_q2_edge,cyber_structural_25_75,0.0789,0.057,0.2928,0.4459,0.028,0.5296
4b,instruct,collapsed_q2_edge,q2_structural_amplifier,0.4163,0.2193,0.6385,0.2332,0.2691,0.5323
4b,instruct,collapsed_q2_edge,routed_tri_structural_60,0.1163,0.0838,0.3585,0.393,0.0391,0.5464
4b,instruct,collapsed_q2_edge,routed_tri_structural_65,0.1386,0.0995,0.3855,0.3764,0.0382,0.5341
4b,instruct,collapsed_q2_edge,stability_first_tri_70,0.1723,0.1241,0.424,0.3484,0.0361,0.5343
4b,instruct,damaged_q2,cognitive_structural_25_75,0.2525,0.1871,0.5183,0.2775,0.0171,0.4525
4b,instruct,damaged_q2,cyber_structural_25_75,0.2795,0.2005,0.5362,0.2666,0.0223,0.4313
4b,instruct,damaged_q2,q2_structural_amplifier,0.6854,0.343,0.8119,0.168,0.2782,0.4614
4b,instruct,damaged_q2,routed_tri_structural_60,0.3455,0.2387,0.6024,0.2368,0.0455,0.4443
4b,instruct,damaged_q2,routed_tri_structural_65,0.392,0.2787,0.6357,0.2257,0.0361,0.4427
4b,instruct,damaged_q2,stability_first_tri_70,0.445,0.3166,0.6689,0.2071,0.035,0.4359
4b,instruct,damaged_q3,cognitive_structural_25_75,0.7584,0.5666,0.8615,0.1236,0.0187,0.303
4b,instruct,damaged_q3,cyber_structural_25_75,0.7577,0.5675,0.8599,0.1164,0.0236,0.2982
4b,instruct,damaged_q3,q2_structural_amplifier,0.8473,0.4511,0.901,0.1125,0.2754,0.3373
4b,instruct,damaged_q3,routed_tri_structural_60,0.8323,0.5964,0.906,0.1057,0.0389,0.3132
4b,instruct,damaged_q3,routed_tri_structural_65,0.8361,0.6091,0.9107,0.105,0.0375,0.293
4b,instruct,damaged_q3,stability_first_tri_70,0.845,0.6139,0.9173,0.1062,0.0361,0.2964
4b,instruct,damaged_q4,cognitive_structural_25_75,0.8955,0.6855,0.942,0.0764,0.0189,0.2525
4b,instruct,damaged_q4,cyber_structural_25_75,0.8832,0.6873,0.9362,0.0825,0.0286,0.2263
4b,instruct,damaged_q4,q2_structural_amplifier,0.8802,0.5071,0.9188,0.0866,0.2609,0.2714
4b,instruct,damaged_q4,routed_tri_structural_60,0.9007,0.6773,0.944,0.0793,0.0429,0.2484
4b,instruct,damaged_q4,routed_tri_structural_65,0.9057,0.682,0.9456,0.0746,0.0407,0.2448
4b,instruct,damaged_q4,stability_first_tri_70,0.9079,0.6916,0.9486,0.077,0.0316,0.2427
4b,instruct,healthy_q6,cognitive_structural_25_75,0.928,0.7612,0.9571,0.0546,0.0184,0.1807
4b,instruct,healthy_q6,cyber_structural_25_75,0.9245,0.758,0.9572,0.0587,0.0268,0.173
4b,instruct,healthy_q6,q2_structural_amplifier,0.9064,0.5366,0.9287,0.0675,0.2691,0.2254
4b,instruct,healthy_q6,routed_tri_structural_60,0.9339,0.753,0.9593,0.0504,0.0391,0.1782
4b,instruct,healthy_q6,routed_tri_structural_65,0.93,0.7523,0.9586,0.0529,0.042,0.1707
4b,instruct,healthy_q6,stability_first_tri_70,0.9346,0.7661,0.9616,0.0459,0.0345,0.1684
4b,instruct,healthy_q8,cognitive_structural_25_75,0.948,0.8002,0.9655,0.0361,0.0184,0.1527
4b,instruct,healthy_q8,cyber_structural_25_75,0.9446,0.7991,0.9656,0.0352,0.0243,0.1466
4b,instruct,healthy_q8,q2_structural_amplifier,0.9134,0.5561,0.9326,0.0591,0.2661,0.1973
4b,instruct,healthy_q8,routed_tri_structural_60,0.9425,0.7779,0.963,0.0389,0.043,0.1487
4b,instruct,healthy_q8,routed_tri_structural_65,0.948,0.7857,0.9663,0.0343,0.04,0.1496
4b,instruct,healthy_q8,stability_first_tri_70,0.9502,0.7891,0.9666,0.0348,0.0345,0.1502
9b,base,collapsed_q2_edge,cognitive_structural_25_75,0.1704,0.1279,0.4415,0.3171,0.0209,0.4968
9b,base,collapsed_q2_edge,cyber_structural_25_75,0.2007,0.1514,0.4603,0.3061,0.0291,0.4559
9b,base,collapsed_q2_edge,q2_structural_amplifier,0.6727,0.3395,0.806,0.1638,0.2823,0.4436
9b,base,collapsed_q2_edge,routed_tri_structural_60,0.3143,0.218,0.5772,0.255,0.045,0.4805
9b,base,collapsed_q2_edge,routed_tri_structural_65,0.3359,0.2382,0.5924,0.2523,0.0457,0.4532
9b,base,collapsed_q2_edge,stability_first_tri_70,0.367,0.2548,0.614,0.2393,0.0439,0.4611
9b,base,damaged_q2,cognitive_structural_25_75,0.4586,0.3421,0.6857,0.1882,0.02,0.4048
9b,base,damaged_q2,cyber_structural_25_75,0.4845,0.348,0.6968,0.1893,0.03,0.3754
9b,base,damaged_q2,q2_structural_amplifier,0.8254,0.4225,0.8897,0.1243,0.2712,0.3836
9b,base,damaged_q2,routed_tri_structural_60,0.6593,0.458,0.8035,0.1541,0.0445,0.3907
9b,base,damaged_q2,routed_tri_structural_65,0.6773,0.4738,0.8178,0.1521,0.0446,0.3818
9b,base,damaged_q2,stability_first_tri_70,0.7241,0.5005,0.8416,0.138,0.0389,0.3814
9b,base,damaged_q3,cognitive_structural_25_75,0.8711,0.6423,0.931,0.1002,0.0207,0.282
9b,base,damaged_q3,cyber_structural_25_75,0.8677,0.6559,0.9277,0.0925,0.0311,0.2568
9b,base,damaged_q3,q2_structural_amplifier,0.8818,0.4863,0.9166,0.0877,0.2787,0.2864
9b,base,damaged_q3,routed_tri_structural_60,0.8979,0.6664,0.9438,0.0832,0.0446,0.2546
9b,base,damaged_q3,routed_tri_structural_65,0.8962,0.662,0.9433,0.0841,0.0436,0.2564
9b,base,damaged_q3,stability_first_tri_70,0.8996,0.67,0.943,0.0809,0.0427,0.2554
9b,base,damaged_q4,cognitive_structural_25_75,0.9189,0.7295,0.9529,0.0621,0.0187,0.208
9b,base,damaged_q4,cyber_structural_25_75,0.9255,0.7209,0.9544,0.058,0.0302,0.2166
9b,base,damaged_q4,q2_structural_amplifier,0.8902,0.5104,0.9227,0.077,0.2812,0.2373
9b,base,damaged_q4,routed_tri_structural_60,0.9221,0.7084,0.9532,0.06,0.0423,0.2173
9b,base,damaged_q4,routed_tri_structural_65,0.9198,0.7196,0.954,0.0632,0.0425,0.2061
9b,base,damaged_q4,stability_first_tri_70,0.9257,0.7218,0.9543,0.0596,0.04,0.21
9b,base,healthy_q6,cognitive_structural_25_75,0.9396,0.7804,0.9627,0.0414,0.02,0.1688
9b,base,healthy_q6,cyber_structural_25_75,0.9414,0.7802,0.9644,0.0455,0.0327,0.155
9b,base,healthy_q6,q2_structural_amplifier,0.9211,0.5445,0.9329,0.0511,0.2843,0.207
9b,base,healthy_q6,routed_tri_structural_60,0.9454,0.773,0.9645,0.0368,0.0459,0.1584
9b,base,healthy_q6,routed_tri_structural_65,0.9405,0.7698,0.9636,0.0437,0.0511,0.1511
9b,base,healthy_q6,stability_first_tri_70,0.9459,0.782,0.9657,0.0357,0.0395,0.1539
9b,base,healthy_q8,cognitive_structural_25_75,0.9596,0.828,0.9707,0.0257,0.018,0.1298
9b,base,healthy_q8,cyber_structural_25_75,0.9557,0.8154,0.9692,0.0266,0.0329,0.1295
9b,base,healthy_q8,q2_structural_amplifier,0.9209,0.5591,0.935,0.0534,0.283,0.1798
9b,base,healthy_q8,routed_tri_structural_60,0.9563,0.7948,0.9694,0.0284,0.0446,0.1388
9b,base,healthy_q8,routed_tri_structural_65,0.9575,0.8054,0.97,0.0288,0.0429,0.133
9b,base,healthy_q8,stability_first_tri_70,0.9571,0.8098,0.9693,0.0271,0.0405,0.125
9b,degraded_instruct,collapsed_q2_edge,cognitive_structural_25_75,0.1552,0.1138,0.4257,0.3286,0.0227,0.4868
9b,degraded_instruct,collapsed_q2_edge,cyber_structural_25_75,0.1952,0.1445,0.4503,0.3164,0.0346,0.4661
9b,degraded_instruct,collapsed_q2_edge,q2_structural_amplifier,0.6445,0.3196,0.7877,0.1645,0.2952,0.4691
9b,degraded_instruct,collapsed_q2_edge,routed_tri_structural_60,0.2725,0.1886,0.5385,0.2729,0.0498,0.4709
9b,degraded_instruct,collapsed_q2_edge,routed_tri_structural_65,0.2911,0.205,0.5583,0.2673,0.0511,0.4689
9b,degraded_instruct,collapsed_q2_edge,stability_first_tri_70,0.3466,0.2462,0.5915,0.2482,0.0455,0.4527
9b,degraded_instruct,damaged_q2,cognitive_structural_25_75,0.4411,0.3202,0.6744,0.198,0.0288,0.4209
9b,degraded_instruct,damaged_q2,cyber_structural_25_75,0.4695,0.3359,0.6866,0.1913,0.0361,0.3802
9b,degraded_instruct,damaged_q2,q2_structural_amplifier,0.8148,0.4029,0.8802,0.117,0.29,0.4023
9b,degraded_instruct,damaged_q2,routed_tri_structural_60,0.6068,0.4211,0.7764,0.1675,0.0523,0.3946
9b,degraded_instruct,damaged_q2,routed_tri_structural_65,0.6507,0.4554,0.8017,0.1554,0.0527,0.3663
